Rule_ID,Action_Type,Target_Type,Policy_ID,Preconditions,Resource_Input_Mode,Resource_Return_Mode,Refund_Resource_Filter,State_Change,Reset_Scope,Dependency_Impact,Can_Simulate_Forward,Can_Auto_Reverse,Unknown_or_Blocking_Condition,Verification_Status,Source_URLs
TR001,equip,*,RP_NOT_APPLICABLE,Target owned and slot legal,None,None,,Set equipped target,Loadout,No consumption,Yes,Yes,,Schema,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
TR002,unequip,*,RP_NOT_APPLICABLE,Target equipped,None,None,,Clear equipped target,Loadout,No consumption,Yes,Yes,,Schema,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
TR003,open_selector,Choice Item,RP_SELECTOR_ONE_WAY,Owned; option eligible,Consume costs,Selected output,,Consume and select,Item,Permanent choice,Yes,No,,Conservative,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
TR004,open_random_container,Container/Key,RP_RANDOM_OPEN_ONE_WAY,Owned,Consume costs,Realized reward,,Consume and roll,Item,Permanent result,Yes,No,,Conservative,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
TR005,spend_currency,Currency,RP_SPEND_TARGET_DEPENDENT,Balance and target unlock,Consume costs,Target rule,,Apply target,Target,Target-dependent,Yes,No,Missing target rule blocks reverse,Safety,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
TR006,use_material,Material,RP_SPEND_TARGET_DEPENDENT,Inventory and target unlock,Consume costs,Target rule,,Apply target,Target,Target-dependent,Yes,No,Missing target rule blocks reverse,Safety,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
TR007,equipment_level_down,Equipment,RP_EQUIP_LEVEL_FULL,Investment ledger,Tracked,Full,Gold|Equipment Designs,Lower level,One item,No loss,Yes,Yes,Ledger required,Community,https://gamerdigest.com/survivor-io-level-down-items/
TR008,equipment_plus_downgrade,Equipment,RP_EQUIP_PLUS_DOWNGRADE,Has plus levels,Tracked fodder,Equivalent generic material,Same-rarity fodder,Lower plus level,One item,Fodder identity converted,Yes,Yes,,Community,https://survivorio.fandom.com/wiki/Merging
TR009,equipment_rarity_promote,Equipment,RP_RARITY_PROMOTION_ONE_WAY,Copies/fodder available,Consume exact,None,,Raise rarity,One item,Permanent copies,Yes,No,,Merge rule,https://survivorio.fandom.com/wiki/Merging
TR010,equipment_salvage,Equipment,RP_SALVAGE_FIXED_ONE_WAY,AF unlocked; output supplied,Destroy,Fixed output,Item-specific,Remove item,One item,Permanent destruction,Yes,No,Missing output blocks,Forge,https://survivorio.fandom.com/wiki/Astral_forge
TR011,ss_af_restore,SS Equipment,RP_SS_AF_REALLOCATION_VERIFY,Saved allocation + snapshot,Snapshot,Snapshot,,Restore configuration,SS allocation,Unknown exact return,Yes,No,Snapshot required,Feature only,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://apps.apple.com/us/app/survivor-io/id1528941310
TR012,survivor_reset,Survivor,RP_SURVIVOR_RESET_FULL,Eligible target/reset,Reset item if needed,Full tracked,Level|Gold|shards|stars,Level 1 / 1 Star,One Survivor,Ownership remains,Yes,Yes,Ledger required,Exact item,https://apps.apple.com/us/app/survivor-io/id1528941310
TR013,normal_pet_level_down,Normal Pet,RP_NORMAL_PET_LEVEL_FULL,Cookie ledger,Tracked,Full,Pet Cookies,Lower level,One pet,No loss,Yes,Yes,Ledger required,Community/Drive,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR014,normal_pet_rarity_merge,Normal Pet,RP_NORMAL_PET_MERGE_ONE_WAY,Copies available,Consume copies,None,,Raise rarity,One pet,Permanent copies,Yes,No,,Community,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR015,normal_pet_unawaken,Normal Pet,RP_NORMAL_PET_UNAWAKEN_VERIFY,Awakened; feature visible,Unknown,Unknown,,Lower awakening,Pet type,Unknown returns,Yes,No,No inventory credit,Feature only,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TR016,pet_affection_reset,Normal Pet,RP_PET_AFFECTION_RESET_VERIFY,Feature available,Unknown,Unknown,,Reset affection,One pet,Unknown gifts,Yes,No,No inventory credit,Official feature,https://apps.apple.com/us/app/survivor-io/id1528941310
TR017,normal_pet_dismiss,Normal Pet,RP_NORMAL_PET_DISMISS_FIXED,Another copy; supported rarity,Destroy,Fixed crystals,160|1280|7780,Remove pet,One pet,Permanent pet loss,Yes,No,Legend conflict configurable,Drive,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
