Tier_Order,Awakening_Tier,Stat_Granted,First_Species_Gain,Second_Species_Gain,Third_Species_Gain,Fourth_Species_Gain,Fifth_Species_Gain,Sixth_Species_Gain,Total_With_5_Current_or_Legacy_Species,Total_With_6_Current_Species,Unit,How_It_Works,Data_Status,Source_URLs
1,Y1,Skill Damage,2,4,6,8,10,10,30,40,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
2,Y2,Crit Damage,2,4,6,8,10,10,30,40,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
3,Y3,Resonance Damage,1,2,3,4,5,5,15,20,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
4,Y4,Damage to Chilled,2,4,6,8,10,10,30,40,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
5,Y5,Damage to Poisoned,2,4,6,8,10,10,30,40,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
6,R1,Damage to Weakened,2,4,6,8,10,10,30,40,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
7,R2,Resonance Damage,2,4,6,8,10,10,30,40,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
8,R3,Shield Damage,2,4,6,8,10,10,30,40,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
9,R4,Sync Rate,5,10,15,20,20,25,70,95,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
10,R5,Resonance Damage,3,6,9,12,15,15,45,60,%,The Nth different Xeno species reaching this tier adds the Nth listed amount. Bonuses accumulate across species.,Exact current six-species values from the supplied sIO Tools game-data model.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; User-supplied sIO Tools game-data snapshot (July 2026)
