Rule_ID,Category,Rule_Name,Requirement,What_It_Unlocks_or_Changes,Optimizer_Impact,DPS_Relevant,Data_Status,Source_URLs
PRULE001,Access,Unlock Normal Pets,Clear Main Chapter 9.,"Unlocks pet deployment, assist pets, quality skills, awakening, affection and toys.",Do not recommend pet investments before the feature is available.,Yes,Drive chapter-unlock extraction,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE002,Loadout,One Deployed Pet,Unlock the pet system.,Exactly one normal pet joins battle and attacks.,Compare direct pet DPS and owner buffs for the deployed slot.,Yes,Current pet-system rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE003,Loadout,Two Assist Pets,Unlock the pet system.,Two pets may provide assist skills without entering battle.,Optimize assist skill combinations separately from the deployed pet.,Yes,Current pet-system rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE004,Quality,Random Assist Skill,Reach Better quality.,Each pet receives one random assist skill.,Pet identity and assist-skill roll are separate variables.,Conditional,Current pet-system rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE005,Quality,Quality Skill Unlocks,"Reach Excellent, Epic and Legend.","Unlocks two Excellent skills, two Epic skills and one Legend skill.",Quality breakpoints can change both direct pet DPS and owner DPS.,Yes,Current public guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE006,Battle,Pet Fainting,Pet HP reaches zero.,Pet stops attacking and its buffs are inactive until revived by standing near its body.,Use realistic pet uptime; survival can indirectly protect DPS uptime.,Conditional,Current public guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE007,Awakening,First Awakening,"Raise the pet to Epic, complete its awakening mission and spend materials.","Unlocks the pet's personal awakening skill, skill swapping, gifts/affection and disposition switching.",Y1 often has more value than a normal rarity increment.,Yes,Current Game8 awakening guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE008,Awakening,Deploy Skill Inheritance,Awaken the pet and own the source pet skill at the required quality.,Allows swapping inherited deploy skills of the same unlocked quality.,Optimizer must check whether the source quality skill is actually owned.,Yes,Current Game8 awakening guide,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE009,Awakening,Yellow Slot Upgrades,Reach Y2 and Y4.,Raises deploy-skill slot quality.,Improves the ceiling of assignable pet skills.,Yes,Current awakening tables,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PRULE010,Awakening,Red Slot Upgrades,"Reach R1, R3 and R4.",Raises deploy-skill slot quality.,Can unlock higher-tier owner or pet DPS skills.,Yes,Current awakening tables,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
