Survivor_ID,Survivor,Aliases,Rarity,Shard_or_Upgrade_Item,Exclusive_Skill,Level_40_Account_Bonus,Level_120_Account_Bonus,Star_1_Unlock,Star_3_Unlock,Star_5_Account_Bonus,Star_6_Unlock,Awakening_Available,Maximum_Awakening_Listed,Total_Unlock_Rows,Data_Status,Primary_Source_URL,Secondary_Source_URL
SURV01,Common,,Normal,Common Shard,Pointless,All Survivors: Crit Damage +5%.,All Survivors: Crit Rate +5%.,Pointless: (Passive) All skill damage +3%.,Expired Plan: (Passive) All skill ranges +3%; Survivor HP +20%.,All Survivors: HP +4%.,Helter Skelter: (Passive) All skill cooldowns -3%; Survivor ATK +20%.,Yes,6,15,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV02,Tsukuyomi,,Normal,Tsukuyomi Shard,Moonshade Slash,All Survivors: ATK +5%.,All Survivors: Crit Damage +5%.,Moonshade Slash: Select in battle: Perform a powerful frontal slash.,"Nitoryu: When a bladed main weapon evolves, Moonhalo Slash can be upgraded again; Survivor HP +20%.",All Survivors: ATK +4%.,Evo Unleashed: Moonhalo Slash's upgrade requirement is no longer restricted to the main weapon; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/tsukuyomi,https://survivorio.fandom.com/wiki/Characters
SURV03,Catnips,,Normal,Catnips Shard,Medi-drone,All Survivors: HP +5%.,All Survivors: ATK +5%.,Medi-drone: Select in battle: Releases a healing zone.,Tech Breakthrough: All drones can be freely paired; Survivor HP +20%.,All Survivors: HP +4%.,Advanced Medicine: Healing Drone effect doubled; Survivor ATK +20%.,Yes,6,15,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/catnips,https://survivorio.fandom.com/wiki/Characters
SURV04,Worm,,Normal,Worm Shard,Listening Bug,All Survivors: HP +5%.,All Survivors: ATK +5%.,Listening Bug: Select in battle: Reveals enemy weaknesses and increases damage taken.,Cash Trade: Greatly reduces collision damage and slightly increases projectile damage; Survivor HP +20%.,All Survivors: ATK +4%.,Sting Op: Listening Bug can evolve into Sting Op; filling its meter forces enemies to retreat; Survivor ATK +20%.,Yes,6,17,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/worm,https://survivorio.fandom.com/wiki/Characters
SURV05,King,,Normal,King Shard,Survivor Instinct,All Survivors: ATK +5%.,All Survivors: Crit Damage +5%.,Survivor Instinct: Select in battle: Crit Rate +8% per skill level.,Sixth Sense: Survivor Instinct evolves: Crit Rate +50% and Crit Damage +25%; Survivor HP +20%.,All Survivors: HP +4%.,Lucky Kill: Failed critical hits are recalculated; Survivor ATK +20%.,Yes,6,17,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/king,https://survivorio.fandom.com/wiki/Characters
SURV06,Wesson,,Normal,Wesson Shard,EM Grenade,All Survivors: ATK +5%.,All Survivors: Crit Damage +5%.,EM Grenade: Select in battle: Throws a high-tech EM Grenade.,Drillmaster Perk: Chance to call HQ support when throwing a grenade; Survivor HP +20%.,All Survivors: ATK +4%.,EM Field: Drillmaster's Fury also creates an EM Field that blocks enemy attacks; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/wesson,https://survivorio.fandom.com/wiki/Characters
SURV07,Yelena,,Normal,Yelena Shard,Automatic Pistol,All Survivors: HP +5%.,All Survivors: ATK +5%.,Automatic Pistol: Select in battle: Yelena's all-purpose firearm.,Projection Haste: Movement Speed +5 while a projection is active; Survivor HP +20%.,All Survivors: HP +4%.,Enhanced Projection: Critical hits can extend a Holo Projection's duration up to 6 seconds; Survivor ATK +20%.,Yes,6,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/yelena,https://survivorio.fandom.com/wiki/Characters
SURV08,Master Yang,,S,Master Yang Shard,Yin-Yang Balance,All Survivors: ATK +10%.,All Survivors: Crit Rate +10%.,Yin-Yang Balance: Change Yin/Yang stances in battle. Palm Wind inflicts scaling Vulnerability; extra Sunfire Palm Vulnerability +25%.,Calm and Collected: Solarian Ki creates a cyclone that prevents movement and inflicts 50% Vulnerability; Survivor HP +20%.,All Survivors: ATK +8%.,Burning Rage: Sunfire Palm Crit Damage +100%; Survivor ATK +20%.,Yes,8,18,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/master-yang,https://survivorio.fandom.com/wiki/Characters
SURV09,Metallia,,S,Metallia Shard,Harmonic Power,All Survivors: ATK +10%.,All Survivors: Crit Damage +10%.,Harmonic Power: Attacking Weakened targets restores Energy Shield. Deals heavy wounds to Poisoned and Chilled targets.,Voice of Destruction: Tritone debuff duration +5 seconds and Harmonic Power status damage greatly increases; Survivor HP +20%.,All Survivors: ATK +8%.,Lingering Reverb: Tritone debuff duration +15 seconds; Survivor ATK +20%.,Yes,8,20,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/metallia,https://survivorio.fandom.com/wiki/Characters
SURV10,Joey,,S,Joey Shard,Showdown,All Survivors: ATK +10%.,All Survivors: Crit Damage +10%.,"Showdown: Reveals Elite/Boss weak spots. Weak-spot damage +10%; every 200 attacks inflicts Exposed for 5 seconds, stacking status-target damage.",Ravage: Exposed duration increases to 20 seconds; Survivor HP +20%.,All Survivors: ATK +8%.,Showdown Mastery: Weak-spot damage +10%; Survivor ATK +20%.,Yes,8,18,GarryTools detail-page data; Star 6 title normalized from current game-data model,https://garrytools.com/guide/survivors/joey,https://survivorio.fandom.com/wiki/Characters
