Choice_Item_ID,Choice_Item_Name,Choice_Scope,Option_Order,Option_Name,Option_Category,Option_Status,Rarity_Awarded,Notes,Source_URLs
61,Survivor Reset Vial,Survivor Reset Target,1,Any eligible owned Survivor,Survivor Reset Target,Target selection,,"This is a reset target selector, not a reward container.","User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
83,Survivor Awakening Core Choice Chest,Core / Upgrade Material,1,Survivor Awakening Core,Core / Upgrade Material,Tier / quantity choice,,The localized description says choose an unlocked reward; the selectable tier or quantity depends on the chest's unlocked reward state.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
84,Relic Core Choice Chest,Core / Upgrade Material,1,Relic Core,Core / Upgrade Material,Tier / quantity choice,,The reward family is Relic Core; exact selectable quantities are not encoded in the item dictionary.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
85,Resonance Chip Choice Chest,Tech Resonance Material,1,Resonance Chip,Tech Resonance Material,Tier / quantity choice,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
86,Awakening Crystal Choice Chest,Pet Awakening Material,1,Awakening Crystal,Pet Awakening Material,Tier / quantity choice,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
90,Legend Collectible & Resonance Chip Choice Chest,Collectible,1,Legend Collectible reward,Collectible,Category-level exact,Legend,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
90,Legend Collectible & Resonance Chip Choice Chest,Collectible,2,Resonance Chip,Collectible,Category-level exact,Legend,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
91,Survivor Awakening Core & Relic Core Choice Chest,Core / Upgrade Material,1,Survivor Awakening Core,Core / Upgrade Material,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
91,Survivor Awakening Core & Relic Core Choice Chest,Core / Upgrade Material,2,Relic Core,Core / Upgrade Material,Exact,,,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
92,Core Choice Chest,Core / Upgrade Material,1,Survivor Awakening Core,Core / Upgrade Material,Exact,,Official announcement states the original three-choice chest was upgraded to four choices by adding Xeno Pet Core.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://apps.apple.com/us/app/survivor-io/id1528941310"
