Weapon,Weapon_Grade,Faction,Required_Weapon_Quality,AF_Level,AF_Level_Number,Prerequisite,Base_Tech_Materials_Cost,Epic_S_Weapon_Fodder_Quantity,Required_Fodder,Core_Type,Core_Cost,Relic_Core_Cost,Cumulative_Base_Tech_Materials,Cumulative_Epic_S_Weapon_Fodder,Cumulative_Core_Cost,Unlock_Name,Effect,Effect_Category,Evolution_Passive,Evolution_Weapon,Data_Status,Drive_Cost_Source_URL,Effect_Source_URLs
Baseball Bat,Normal,None,Legend,AF1,1,Legend-quality weapon,100,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",5,0,100,1,5,ATK,+15% ATK.,Stat,Fitness Guide,Lucille,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Baseball_Bat; https://survivorio.fandom.com/wiki/Astral_forge
Baseball Bat,Normal,None,Legend,AF2,2,AF1 completed,200,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",10,0,300,2,15,ATK,+20% ATK.,Stat,Fitness Guide,Lucille,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Baseball_Bat; https://survivorio.fandom.com/wiki/Astral_forge
Baseball Bat,Normal,None,Legend,AF3,3,AF2 completed,300,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",20,0,600,3,35,Shockwave,Bat swings produce shockwaves.,Weapon mechanic,Fitness Guide,Lucille,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Baseball_Bat; https://survivorio.fandom.com/wiki/Astral_forge
Katana,Normal,None,Legend,AF1,1,Legend-quality weapon,100,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",5,0,100,1,5,ATK,+15% ATK.,Stat,Ronin Oyoroi,Demon Blade,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Katana; https://survivorio.fandom.com/wiki/Astral_forge
Katana,Normal,None,Legend,AF2,2,AF1 completed,200,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",10,0,300,2,15,ATK,+20% ATK.,Stat,Ronin Oyoroi,Demon Blade,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Katana; https://survivorio.fandom.com/wiki/Astral_forge
Katana,Normal,None,Legend,AF3,3,AF2 completed,300,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",20,0,600,3,35,Blade Wave Multiplication,Blade waves multiply when they hit enemies.,Projectile mechanic,Ronin Oyoroi,Demon Blade,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Katana; https://survivorio.fandom.com/wiki/Astral_forge
Kunai,Normal,None,Legend,AF1,1,Legend-quality weapon,100,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",5,0,100,1,5,ATK,+15% ATK.,Stat,Koga Ninja Scroll,Spirit Shuriken,Cross-checked with the Kunai Fandom AF table and AllClash.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Kunai; https://survivorio.fandom.com/wiki/Astral_forge
Kunai,Normal,None,Legend,AF2,2,AF1 completed,200,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",10,0,300,2,15,ATK,+20% ATK.,Stat,Koga Ninja Scroll,Spirit Shuriken,Cross-checked with the Kunai Fandom AF table and AllClash.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Kunai; https://survivorio.fandom.com/wiki/Astral_forge
Kunai,Normal,None,Legend,AF3,3,AF2 completed,300,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",20,0,600,3,35,Ninja Master,The passive skill is no longer required to evolve Kunai.,Evolution requirement,Koga Ninja Scroll,Spirit Shuriken,Cross-checked with the Kunai Fandom AF table and AllClash.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Kunai; https://survivorio.fandom.com/wiki/Astral_forge
Revolver,Normal,None,Legend,AF1,1,Legend-quality weapon,100,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",5,0,100,1,5,ATK,+15% ATK.,Stat,Hi-Power Bullet,Reaper,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Revolver; https://survivorio.fandom.com/wiki/Astral_forge
Revolver,Normal,None,Legend,AF2,2,AF1 completed,200,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",10,0,300,2,15,ATK,+20% ATK.,Stat,Hi-Power Bullet,Reaper,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Revolver; https://survivorio.fandom.com/wiki/Astral_forge
Revolver,Normal,None,Legend,AF3,3,AF2 completed,300,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",20,0,600,3,35,Quick Reload,Reload time is reduced to 1 second.,Reload,Hi-Power Bullet,Reaper,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Revolver; https://survivorio.fandom.com/wiki/Astral_forge
Shotgun,Normal,None,Legend,AF1,1,Legend-quality weapon,100,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",5,0,100,1,5,ATK,+15% ATK.,Stat,Hi-Power Bullet,Gatling,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Shotgun; https://survivorio.fandom.com/wiki/Astral_forge
Shotgun,Normal,None,Legend,AF2,2,AF1 completed,200,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",10,0,300,2,15,ATK,+20% ATK.,Stat,Hi-Power Bullet,Gatling,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Shotgun; https://survivorio.fandom.com/wiki/Astral_forge
Shotgun,Normal,None,Legend,AF3,3,AF2 completed,300,1,"1 Epic S-grade weapon: Lightchaser, Void Power, or Sword of Disorder","Core matching the sacrificed S weapon: Eternal, Void, or Chaos",20,0,600,3,35,Rapid Fire,Shotgun cooldown is greatly reduced.,Cooldown,Hi-Power Bullet,Gatling,Best-effort effect text from AllClash; weapon identity and evolution cross-checked with Fandom. AF3 title is normalized/descriptive.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Shotgun; https://survivorio.fandom.com/wiki/Astral_forge
Lightchaser,S,Eternal,Legend,AF1,1,Legend-quality weapon,100,1,1 Epic Lightchaser,Eternal Core,5,0,100,1,5,Swordward,Creates an additional Sword Array that follows the player.,Weapon mechanic,Ronin Oyoroi,Eternal Light,Cross-checked with the Fandom Astral Forge page and AllClash.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Lightchaser; https://survivorio.fandom.com/wiki/Astral_forge
Lightchaser,S,Eternal,Legend,AF2,2,AF1 completed,200,1,1 Epic Lightchaser,Eternal Core,10,0,300,2,15,ATK,+20% ATK.,Stat,Ronin Oyoroi,Eternal Light,Cross-checked with the Fandom Astral Forge page and AllClash.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Lightchaser; https://survivorio.fandom.com/wiki/Astral_forge
Lightchaser,S,Eternal,Legend,AF3,3,AF2 completed,300,1,1 Epic Lightchaser,Eternal Core,20,0,600,3,35,Claymore,Both Sword Arrays grow over time.,Area scaling,Ronin Oyoroi,Eternal Light,Cross-checked with the Fandom Astral Forge page and AllClash.,https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c,https://www.allclash.com/survivor-io-astral-forge-guide/; https://survivorio.fandom.com/wiki/Lightchaser; https://survivorio.fandom.com/wiki/Astral_forge
