Item_ID,Item_Name,Description,Choice_Scope,Rarity,Faction,Equipment_Slot,Selection_Count,Known_Option_Count,Option_Pool_Summary,Option_Data_Status,Optimizer_Use,Lifecycle,Data_Status,Source_URLs
61,Survivor Reset Vial,"Select 1 Survivor to reset. Level and Stars will be reduced to 1, and all upgrade materials refunded (Training progress retained, but doesn't take effect)",Survivor Reset Target,,,,1,1,Any eligible owned Survivor,Target selection,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
83,Survivor Awakening Core Choice Chest,Choose an unlocked reward,Core / Upgrade Material,,,,1,1,Survivor Awakening Core,Tier / quantity choice,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
84,Relic Core Choice Chest,Choose an unlocked reward,Core / Upgrade Material,,,,1,1,Relic Core,Tier / quantity choice,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
85,Resonance Chip Choice Chest,Choose an unlocked reward,Tech Resonance Material,,,,1,1,Resonance Chip,Tier / quantity choice,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
86,Awakening Crystal Choice Chest,Choose an unlocked reward,Pet Awakening Material,,,,1,1,Awakening Crystal,Tier / quantity choice,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
90,Legend Collectible & Resonance Chip Choice Chest,Choose an unlocked reward,Collectible,Legend,,,1,2,Legend Collectible reward; Resonance Chip,Category-level exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
91,Survivor Awakening Core & Relic Core Choice Chest,Choose an unlocked reward,Core / Upgrade Material,,,,1,2,Survivor Awakening Core; Relic Core,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
92,Core Choice Chest,Choose an unlocked reward,Core / Upgrade Material,,,,1,4,Survivor Awakening Core; Relic Core; Resonance Chip; Xeno Pet Core,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://www.facebook.com/SurvivorHabby/posts/-xeno-pet-system-is-online-unlock-otherworldly-power-with-capybara-gos-cuddly-cr/754279677301736/; https://apps.apple.com/us/app/survivor-io/id1528941310"
95,Good Collectible Shard Choice Pack,Select 1 Collectible Shard,Collectible,Good,,,1,,Eligible collectible shard of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
96,Better Collectible Shard Choice Pack,Select 1 Collectible Shard,Collectible,Better,,,1,,Eligible collectible shard of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
97,Excellent Collectible Shard Choice Pack,Select 1 Collectible Shard,Collectible,Excellent,,,1,,Eligible collectible shard of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
98,Epic Collectible Shard Choice Pack,Select 1 Collectible Shard,Collectible,Epic,,,1,,Eligible collectible shard of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
99,Legend Collectible Shard Choice Pack,Select 1 Collectible Shard,Collectible,Legend,,,1,,Eligible collectible shard of the displayed rarity,Dynamic edition/event pool,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
194,Xeno Pet Core & Survivor Awakening Core Choice Chest,Choose an unlocked reward,Xeno Pet,Xeno,,,1,2,Xeno Pet Core; Survivor Awakening Core,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
5908,Christmas Outfit Giftbox,"Choose 1 costume from Tsukuyomi, Common, Worm X'mas Costumes",Cosmetic,,,,1,3,Tsukuyomi X'mas Costume; Common X'mas Costume; Worm X'mas Costume,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Owned Asset / Reference,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6198,Survivor Starter Squad Choice Shard,Choose 1 Survivor Shard from: Common/Tsukuyomi/Catnips/Worm/King,Survivor Shard,,,,1,5,Common; Tsukuyomi; Catnips; Worm; King,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Owned Asset / Reference,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6199,Survivor Shard Choice,Choose 1 Survivor Shard,Survivor Shard,,,,1,,Eligible Survivor Shard,Dynamic pool,Compare every eligible option before consuming the selector or choosing the reset target.,Owned Asset / Reference,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6200,Underwater Jewel Choice,Choose 1 Underwater Jewel,Collaboration Survivor Material,,,,1,4,Underwater Sapphire; Underwater Ruby; Underwater Tourmaline; Underwater Quartz,Exact,Compare every eligible option before consuming the selector or choosing the reset target.,Owned Asset / Reference,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
8000,Advanced Collector's Heart,Used to evolve custom collection set. Obtained from Legend Collection Choice Packs,Mixed / Dynamic,Legend,,,1,,Unlocked reward shown by the item,Unknown / dynamic,Compare every eligible option before consuming the selector or choosing the reset target.,Permanent / Recurring,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
