Policy_ID,Policy_Name,Refund_Class,Default_Reversible,Refund_Rate,Refund_Resource_Filter,Consumes_Target,Creates_One_Way_Gate,Requires_Reset_Item_or_Feature,Unknown_Behavior,Engine_Behavior,Verified_Rule,Verification_Status,Source_URLs
RP_NOT_APPLICABLE,Owned asset / configuration only,NOT_APPLICABLE,N/A,,,No,No,,,No refund transition is created for ownership or free loadout changes.,Ownership is not an investment refund action.,Schema rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
RP_EQUIP_LEVEL_FULL,Equipment Level Down,FULL_REFUND,Yes,1.0,Gold|Equipment Designs,No,No,Equipment Level Down,,Return 100% of tracked Gold and Equipment Designs.,Level Down refunds 100% of Gold and Designs.,Community guide; long-standing in-game rule,https://gamerdigest.com/survivor-io-level-down-items/
RP_EQUIP_PLUS_DOWNGRADE,Equipment same-rarity plus-level downgrade,FULL_REFUND_CONVERTED,Yes,1.0,Same-rarity enhancement fodder,No,No,Equipment Downgrade,,Return equivalent generic same-rarity enhancement material.,Plus-level investment can be downgraded and reused.,Community rule; original fodder identity may be converted,https://survivorio.fandom.com/wiki/Merging; https://gamerdigest.com/survivor-io-level-down-items/
RP_RARITY_PROMOTION_ONE_WAY,Rarity promotion,NO_REFUND,No,0,,Exact copies/fodder,Yes,,,Permanently consume copies/fodder and mark a one-way gate.,Cross-rarity promotions are not credited as reversible.,Conservative merge rule,https://survivorio.fandom.com/wiki/Merging
RP_SELECTOR_ONE_WAY,Choice selector,NO_REFUND,No,0,,Selector,Yes,,,Consume selector and permanently log the selected option.,No selector reversal is documented.,Conservative item rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
RP_RANDOM_OPEN_ONE_WAY,Random container or key,NO_REFUND,No,0,,Container/key,Yes,,,Consume the item and permanently log the realized reward.,No chest-opening reversal is documented.,Conservative item rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
RP_SPEND_TARGET_DEPENDENT,Currency/material spend,TARGET_DEPENDENT,No,,,Currency/material,Depends on target,Target-specific verified reset,Block refund assumption,"Resolve the target action policy; absent a rule, treat the spend as permanent.","Refundability belongs to the target action, not the currency itself.",Core optimizer safety rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
RP_DIRECT_CONSUMABLE_ONE_WAY,Direct-use consumable,NO_REFUND,No,0,,Consumable,Yes,,,Consume once and provide no reverse action.,No return policy is documented after use.,Conservative item rule,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
RP_SURVIVOR_RESET_FULL,Survivor reset,FULL_REFUND,Yes with reset feature,1.0,Level resources|Gold|Survivor-specific shards|Star materials,Reset item may be consumed; Survivor remains,No,Survivor Reset Vial or free reset,,Reset to Level 1 / 1 Star and return tracked upgrade materials.,Localized vial text says all upgrade materials are refunded; training remains but is inactive.,Exact localized description; official feature,https://apps.apple.com/us/app/survivor-io/id1528941310
RP_NORMAL_PET_LEVEL_FULL,Normal pet Level Down,FULL_REFUND,Yes,1.0,Pet Cookies used for levels,No,No,Pet Level Down,,Return tracked Pet Cookies and lower the pet level.,Normal pet levels can be lowered to recover cookies.,Current community/Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
