Entity_ID,Entity_Type,Name,Mode_or_Skill,Evolution,Category,Base_Tech_1,Base_Tech_2,Unlock_Requirement,Legend_Key_Effect,Eternal_Key_Effect,Maximum_Resonance,Overload_Available,General_Investment_Rank,Priority_Tier,DPS_Relevant,Associated_Collection_Sets,Optimizer_Notes,Data_Status,Source_URLs
TECH01,Base Tech Part,Antimatter Generator,Drill Shot,Whistling Arrow,Offensive,Antimatter Generator,,Tech system access; obtain and merge copies.,Whistling Arrow EX: gains a second arrow.,"Drill Shot targets take +5% damage. The first Whistling Arrow deals double damage; after it hits, the second Whistling Arrow deals +900% damage for 1.5 seconds.",9000,No — Overload is Twinborn-only.,4,High at Eternal / Twinborn,Yes,,Weak early; major value arrives at Eternal and through Drill/RPG Twinborn.,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH02,Base Tech Part,Precision Device,Drone,Destroyer,Offensive,Precision Device,,Tech system access; obtain and merge copies.,Destroyer EX: restores firing rate and doubles missile explosion range.,"Drone starts at Lv.2, Destroyer homing range increases, and additional missiles are gained.",9000,No — Overload is Twinborn-only.,1,Very High,Yes,,Best basic boss-DPS tech and the foundation for Twinborn Destroyer.,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH03,Base Tech Part,Phase Converter,Lightning Emitter,Supercell,Offensive,Phase Converter,,Tech system access; obtain and merge copies.,Supercell EX: generated shockwave spread distance doubled.,Falling thunder adds another Thunderburst strike; Supercell gains Thunderburst damage; shockwaves spread faster and return.,9000,No — Overload is Twinborn-only.,6,Medium early / High later,Yes,,Underwhelming before Eternal or Twinborn.,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH04,Base Tech Part,Quantum Polarizer,Soccer Ball,Quantum Ball,Offensive,Quantum Polarizer,,Tech system access; obtain and merge copies.,Quantum Ball EX: duration +1 second.,"Soccer Ball count +1, Quantum Ball count +1, and Quantum Entanglement occurs after balls split.",9000,No — Overload is Twinborn-only.,2,High,Yes,,Flexible evolved or unevolved damage tech.,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH05,Base Tech Part,Annihilator,Laser Launcher,Death Ray,Offensive,Annihilator,,Tech system access; obtain and merge copies.,Death Ray EX: snares enemies and prioritizes bosses and elites.,Laser Launcher creates delayed explosions along its path; Death Ray creates a small explosion when rays gather.,9000,No — Overload is Twinborn-only.,5,Medium / High,Yes,,Crowd control plus stronger Twinborn crit scaling.,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH06,Base Tech Part,Energy Diffuser,Molotov,Fuel Barrel,Offensive,Energy Diffuser,,Tech system access; obtain and merge copies.,Fuel Barrel EX: burned enemies receive Deep Wounds and take +10% damage.,Molotov damage rate increases and the Fuel Barrel fire trail follows the Survivor.,9000,No — Overload is Twinborn-only.,3,High for mobs / Medium-High overall,Yes,,Strong area damage and Deep Wounds/Vulnerability source.,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH07,Base Tech Part,Hi-Maintainer,RPG,Sharkmaw Gun,Defensive,Hi-Maintainer,,Tech system access; obtain and merge copies.,Sharkmaw Gun EX: double shot; fires 2 rockets each attack.,RPG explosions trigger additional chain-reaction explosions.,9000,No — Overload is Twinborn-only.,4,Medium / High through Twinborn,Yes,,Useful direct damage and a required half of Drill/RPG Twinborn.,Legend exact; Eternal best-effort from current guide/model,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH08,Base Tech Part,Exo-skeleton,Guardian,Defender,Defensive,Exo-skeleton,,Tech system access; obtain and merge copies.,Defender EX: blades spread outward and return.,Adds additional Defender behavior and improves enemy-control effects.,9000,No — Overload is Twinborn-only.,8,Utility / Twinborn enabler,Conditional,,Excellent mob control; direct DPS is secondary until Twinborn.,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH09,Base Tech Part,Gravity Controller,Brick,1-ton Iron,Defensive,Gravity Controller,,Tech system access; obtain and merge copies.,1-ton Iron EX: spins while flying.,Adds additional brick/1-ton Iron attacks and impact behavior.,9000,No — Overload is Twinborn-only.,7,Medium through Twinborn,Yes,,Twinborn version supplies Weaken and damage-to-Weakened scaling.,Excellent/Legend exact; Eternal summarized because complete display text was not captured,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH10,Base Tech Part,Conduction Device,Boomerang,Magnetic Rebounder,Defensive,Conduction Device,,Tech system access; obtain and merge copies.,Magnetic Rebounder EX: generates chain lightning at nearby enemies.,Complete Eternal display text was not captured in the current source bundle.,9000,No — Overload is Twinborn-only.,9,Low early / High later through Twinborn,Conditional,,Base part is weak; Phase Driver Twinborn is much more important.,Excellent/Legend exact; Eternal unavailable,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH11,Base Tech Part,Energy Collector,Forcefield,Force Barrier,Defensive,Energy Collector,,Tech system access; obtain and merge copies.,Force Barrier EX: defeated enemies inside the field grant bonus EXP.,Adds stronger control and periodic large-area Forcefield pulses.,9000,No — Overload is Twinborn-only.,10,Low base / Top Twinborn enabler,Conditional,,"Base damage is limited, but it is required for the highest-priority Drone/Forcefield Twinborn.",Excellent/Legend current wiki/Drive; Eternal summarized,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TECH12,Base Tech Part,Nanobot,Durian,Caltrops,Defensive,Nanobot,,Tech system access; obtain and merge copies.,Caltrops EX: spikes inflict Bleed.,Adds persistent trail/bomb behavior to Durian or Caltrops.,9000,No — Overload is Twinborn-only.,11,Low / situational Twinborn,Conditional,,"Lower general priority, but can be useful when crit resistance makes Soccer mode less effective.",Excellent/Legend exact; Eternal summarized,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TB01A,Twinborn Mode,Energy Guidance System,Drone Mode,Twinborn Drone → Twinborn Destroyer,Twinborn,Precision Device,Energy Collector,1 Legend Precision Device + 1 Legend Energy Collector.,Skill Damage +75%,Damage to Weakened +50%,15000,Yes,1,Highest,Yes,Transgalactic Tentacle,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB01B,Twinborn Mode,Energy Guidance System,Forcefield Mode,Twinborn Forcefield → Twinborn Force Barrier,Twinborn,Precision Device,Energy Collector,1 Legend Precision Device + 1 Legend Energy Collector.,Skill Damage +120%,"Crit Rate +20%, Crit Damage +160%",15000,Yes,1,Highest,Yes,Impression Idols,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB02A,Twinborn Mode,Antimatter Maintainer,Drill Shot Mode,Twinborn Drill Shot → Twinborn Frostfire Dualist,Twinborn,Antimatter Generator,Hi-Maintainer,1 Legend Antimatter Generator + 1 Legend Hi-Maintainer.,Crit Damage +50%,Shield Damage +75%,15000,Yes,2,Very High,Yes,Multiverse Perspective,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB02B,Twinborn Mode,Antimatter Maintainer,Rocket Mode,Twinborn RPG → Twinborn Blaster Sharkmaw Gun,Twinborn,Antimatter Generator,Hi-Maintainer,1 Legend Antimatter Generator + 1 Legend Hi-Maintainer.,Shield Damage +50%,Skill Damage +75%,15000,Yes,2,Very High,Yes,,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB03A,Twinborn Mode,Phase Driver,Lightning Mode,Twinborn Lightning Emitter → Twinborn Maelstorm,Twinborn,Phase Converter,Conduction Device,1 Legend Phase Converter + 1 Legend Conduction Device.,Crit Damage +80%,Skill Damage +80%,15000,Yes,3,High later,Yes,,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB03B,Twinborn Mode,Phase Driver,Boomerang Mode,Twinborn Boomerang → Twinborn Magvolt Fang,Twinborn,Phase Converter,Conduction Device,1 Legend Phase Converter + 1 Legend Conduction Device.,Damage to Weakened +50%,Skill Damage +100%,15000,Yes,3,High later,Yes,,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB04A,Twinborn Mode,Exo-radicator,Guardian Mode,Twinborn Guardian → Twinborn Defender,Twinborn,Exo-skeleton,Annihilator,1 Legend Exo-skeleton + 1 Legend Annihilator.,Damage to Chilled +70%,Skill Damage +100%,15000,No effect table captured,4,High / build dependent,Yes,,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB04B,Twinborn Mode,Exo-radicator,Laser Mode,Twinborn Laser Launcher → Twinborn Death Ray,Twinborn,Exo-skeleton,Annihilator,1 Legend Exo-skeleton + 1 Legend Annihilator.,"Crit Rate +20%, Crit Damage +40%","Skill Damage +80%, Crit Damage +40%",15000,Yes,4,High / build dependent,Yes,,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB05A,Twinborn Mode,Hi-Gravity Pulser,Brick Mode,Twinborn Brick → Twinborn 1-ton Iron,Twinborn,Gravity Controller,Energy Diffuser,1 Legend Gravity Controller + 1 Legend Energy Diffuser.,Crit Damage +80%,Damage to Weakened +70%,15000,No effect table captured,5,Medium-High,Yes,,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB05B,Twinborn Mode,Hi-Gravity Pulser,Molotov Mode,Twinborn Molotov → Twinborn Fuel Barrel,Twinborn,Gravity Controller,Energy Diffuser,1 Legend Gravity Controller + 1 Legend Energy Diffuser.,Skill Damage +50%,"Shield Damage +50%, Skill Damage +30%",15000,No effect table captured,5,Medium-High,Yes,,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TB06A,Twinborn Mode,Quantum Nanobot,Soccer Mode,Twinborn Soccer Ball → Twinborn Quantum Ball,Twinborn,Quantum Polarizer,Nanobot,1 Legend Quantum Polarizer + 1 Legend Nanobot.,Crit Damage +80%,"Shield Damage +20%, Damage to Chilled +30%",15000,No effect table captured,6,Situational,Yes,Open Void Gate,One side per pair may be equipped. Rank is generalized; choose the mode with the best marginal DPS for the account and game mode.,Exact supplied model numerical effects; mode mechanic names cross-checked with Drive,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
