Item_ID,Item_Name,Description,Primary_Category,Subcategory,Item_Kind,Is_Spendable_or_Consumable,Is_Choice_Item,Is_Random_Reward,Selection_Behavior,Lifecycle,Rarity,Faction,Equipment_Slot,DPS_Relevance,Optimizer_Bucket,Icon_Path,Data_Status,Source_URLs
1,Gems,Gems,Currencies,Permanent Currency,Currency,Yes,No,No,Spend at shop/system,Permanent / Recurring,,,,Depends on spend,SpendCurrency,MainUITopCurrency/Currency_Diamond,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
2,Gold,Gold,Currencies,Permanent Currency,Currency,Yes,No,No,Spend at shop/system,Permanent / Recurring,,,,Depends on spend,SpendCurrency,MainUITopCurrency/Currency_Gold,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
3,Gold DNA,Gold DNA,Currencies,Permanent Currency,Currency,Yes,No,No,Spend at shop/system,Permanent / Recurring,,,,Depends on spend,SpendCurrency,MainUITopCurrency/Currency_DNA,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
4,Energy,Energy,Currencies,Permanent Currency,Currency,Yes,No,No,Spend at shop/system,Permanent / Recurring,,,,Depends on spend,SpendCurrency,MainUITopCurrency/Currency_Power,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
5,EXP,EXP,Other Items,Unclassified / Reference,Other,No,No,No,,Permanent / Recurring,,,,No or unknown,ReferenceOnly,ItemCommon/Currency_Exp,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
6,Army Key,Opens Army Crate,Keys,Chest Key,Key,Yes,No,No,Open/claim container,Permanent / Recurring,,,,Indirect / Expected Value,ChestExpectedValue,ItemCommon/Currency_DiamondBoxSmall,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
7,EDF Key,Opens EDF Crate,Keys,Chest Key,Key,Yes,No,No,Open/claim container,Permanent / Recurring,,,,Indirect / Expected Value,ChestExpectedValue,ItemCommon/Currency_DiamondBoxLarge,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
11,Perfect E Cell,Increases Key Evolution to Perfect,Other Items,Unclassified / Reference,Other,No,No,No,,Permanent / Recurring,,,,No or unknown,ReferenceOnly,UICommon/UICommon_PECell_Icon,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
12,Revival Coin,Miracle coin that revives people,Currencies,Permanent Currency,Currency,Yes,No,No,Spend at shop/system,Permanent / Recurring,,,,Depends on spend,SpendCurrency,MainUITopCurrency/UICommon_RebornCoin_Icon,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
13,Patrol Coin,Gain 1h of Patrol Gold {0},Currencies,Permanent Currency,Currency,Yes,No,No,Spend at shop/system,Permanent / Recurring,,,,Depends on spend,SpendCurrency,ItemCommon/UICommon_HangGold_Icon,Exact localized item name/description from supplied snapshot; category fields are normalized for the optimizer.,"User-supplied sIO Tools game-data snapshot (exported July 10, 2026); https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4"
