Mechanic_ID,Mechanic_Name,Mechanic_Class,Source_Backed_Behavior,What_It_Can_Affect,Required_Condition_or_Source,Known_Examples,Not_Assumed_or_Unverified,Source_Status,Source_URLs
MEC001,Active Skill,Skill category,A temporary in-battle skill used to attack or defend. Active skills normally have five levels and may have an EVO.,"Attack behavior, projectiles, fields, explosions, healing or control.",Selected during the battle.,"Molotov, RPG, Guardian, Drone",No universal damage coefficient or formula is included.,Community wiki source,https://survivorio.fandom.com/wiki/Skills
MEC002,Passive Skill,Skill category,A temporary in-battle passive that changes a stat or is required to evolve an active skill.,"ATK, cooldown, duration, range, movement, healing, HP or utility.",Selected during battle.,"Energy Cube, HE Fuel, Hi-Power Bullet",A passive is not assumed to affect skills unless its wording says so.,Community wiki source,https://survivorio.fandom.com/wiki/Skills
MEC003,EVO / Evolution,Skill transformation,"The final form of an active or weapon skill, usually requiring a named passive or combination skill.",Attack behavior and source-stated properties.,Base skill at the required level plus its evolution requirement.,RPG → Sharkmaw Gun; Molotov → Fuel Barrel,Evolution is not treated as a generic fixed damage multiplier.,Community wiki source,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
MEC004,Direct Hit,Damage delivery,Damage caused when an attack directly contacts a target.,Single-target or area hit events.,The attack must hit.,"Bullets, slashes, rockets",No hit-rate assumption is included.,Normalized source classification,https://survivorio.fandom.com/wiki/Skills
MEC005,Projectile,Damage delivery,"A moving attack object that can travel, bounce, return, home or penetrate.","Hit count, target coverage and repeated contact.",Projectile must intersect the target.,"Kunai, Drill Shot, Soccer Ball, Boomerang","Projectile speed, hit count and collision rules are not inferred when absent.",Normalized source classification,https://survivorio.fandom.com/wiki/Category%3ASkills
MEC006,Piercing / Penetration,Attack behavior,Allows a projectile or attack to pass through additional enemies.,Number of targets a single attack can contact.,Source effect explicitly grants penetration.,"Drill Shot, Gravity Controller Brick, Caltrops spikes",No extra damage per penetrated target is assumed.,Community wiki / tech source,https://survivorio.fandom.com/wiki/Tech_Parts
MEC007,Explosion,Damage delivery,"An impact, mine, rocket or triggered event damages an area.",Area hits and additional hit events.,Explosion trigger occurs.,"RPG, Modular Mine, Soul Blast",Explosion overlap and target caps are not assumed.,Community wiki source,https://survivorio.fandom.com/wiki/Modular_Mine
MEC008,Beam / Laser,Damage delivery,A line or path-based energy attack.,Targets intersecting the beam path.,Beam path overlaps the target.,"Laser Launcher, Death Ray, Eternal Laser",Tick interval and stored-damage behavior are only recorded where explicitly stated.,Community wiki / official gear source,https://survivorio.fandom.com/wiki/Laser_Launcher
MEC009,Aura / Field / Zone,Damage delivery,An area persists around a location or the player and affects targets inside it.,"Continuous contact damage, status, healing or control.",Target remains within the area.,"Forcefield, black hole, healing zone",Tick rate and uptime are not invented.,Community wiki source,https://survivorio.fandom.com/wiki/Forcefield
MEC010,Ground Patch / Trail,Damage delivery,A damaging or status area is left on the ground or behind a moving source.,Targets crossing or standing in the patch.,Target contacts the patch/trail.,"Molotov fire, Eternal Boots trail, Croaky slime",Patch overlap and exact tick timing are not inferred.,Source-backed classification,https://survivorio.fandom.com/wiki/Molotov
MEC011,Damage over Time,Damage delivery,Damage occurs across a stated period or through repeated ticks.,Repeated damage events.,Status or field remains active.,"Burn, corrosion, poison, bleed",No universal tick formula or stacking rule is included.,Drive / community source classification,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC012,Homing / Targeting,Attack behavior,An attack steers toward or prioritizes targets.,Hit consistency and target selection.,Target must be within the source-stated range.,"Precision Device missiles, Kunai",No accuracy percentage is assigned.,Community wiki / Drive source,https://survivorio.fandom.com/wiki/Tech_Parts
MEC013,Attack Count,Attack behavior,"Adds projectiles, missiles, bullets, blades or simultaneous attacks.",Number of possible hit events.,Source effect is active.,RPG +1 rocket; Destroyer missiles; additional sword array,Added attacks are not converted to damage without verified hit behavior.,Source transcription category,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC014,Cooldown / Attack Interval,Attack delivery,Changes how often an attack or skill can be used.,Frequency of attack opportunities.,Source condition is met.,"Energy Cube, Battle Lust, reload reduction",No DPS conversion formula is included.,Community wiki / source transcription,https://survivorio.fandom.com/wiki/Energy_Cube
MEC015,Duration / Uptime,Attack delivery,"Changes how long a field, projectile, buff, debuff or state lasts.",Time the effect can remain active.,Effect has a duration.,"Exo-Bracer, Quantum Ball duration, debuff duration",100% uptime is never assumed unless a source explicitly says it is continuous.,Drive source principle,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC016,Range / Area / Size,Attack delivery,"Changes attack reach, field radius, projectile size or explosion coverage.",Probability and number of targets contacted.,Effect is active.,"HE Fuel, Forcefield size, explosion radius",No direct damage gain is assigned to area alone.,Community wiki source,https://survivorio.fandom.com/wiki/HE_Fuel
MEC017,ATK,Stat effect,"A source-stated ATK increase changes the attack stat of the named owner, Survivor or pet.",Attacks that use that named ATK stat.,The bonus is active for its stated scope.,"Survivor ATK, Pet inherited ATK",No conversion from ATK to final damage is included.,Source transcription category,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC018,Skill Damage,Damage modifier,A source-stated bonus to skill damage.,Skills covered by the source wording.,The skill or condition named by the source is active.,"Common Pointless, tech resonance, pet Encouragement",No additive/multiplicative bucket or stacking formula is assumed.,Drive source; exact formula intentionally excluded,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC019,Weapon Damage,Damage modifier,A source-stated bonus limited to the equipped weapon or named weapon family.,The named weapon's attacks.,Required weapon is equipped.,"Tsukuyomi Bladesmith, firearm bonuses",Not treated as global Skill Damage.,Source-backed classification,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC020,Critical Rate,Critical mechanic,Changes the chance that eligible damage events are critical hits.,Eligible attacks or skills named by the source.,The source bonus and attack eligibility are active.,"King, pets, gloves, survivor bonuses","Crit cap, overcap and expected-damage formulas are deliberately omitted pending verification.",Drive source notes exact formula unverified,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC021,Critical Damage,Critical mechanic,Changes damage of eligible critical hits.,Eligible critical damage events.,A critical hit occurs.,"King, Eternal Gloves, pet Inspiration","Base crit damage, stacking order and overcap behavior are not assumed.",Drive source notes exact formula unverified,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC022,Shield Damage,Conditional damage modifier,A source-stated damage bonus associated with an Energy Shield or shield-related condition.,Damage while the source-stated shield condition is satisfied.,Energy Shield or named shield condition is active.,"SS gear, Xeno assists, mount components",It is not applied without verified shield state; stacking formula is omitted.,Drive source category,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC023,Boss / Elite Damage,Conditional damage modifier,A source-stated bonus against bosses or elites.,Only the named target type.,Target is a boss or elite.,"Voidwaker Handguards, Army Gloves",No boss-defense formula is included.,Source transcription category,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC024,Vulnerability / Damage Taken,Enemy debuff,Increases damage received by the affected enemy according to the source wording.,Attacks hitting the affected target.,Debuff is applied and active.,"Yang vortex, Joey Exposed, Croaky corrosion, Deep Wounds",Different damage-taken effects are not automatically combined or stacked.,Discord-derived Drive source,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC025,Chill,Enemy status,Slows or freezes enemies and enables source-stated damage to Chilled targets.,Control and conditional Chilled-target bonuses.,A Chill source is active on the target.,"Glacial Warboots, King Blizzblast, Guardian/Drill effects",Chill is not assumed to increase damage by itself unless wording says damage taken increases.,Discord-derived Drive source,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC026,Poison,Enemy status / damage over time,Applies a Poison status or damage-over-time effect and enables source-stated damage to Poisoned targets.,Poison ticks and conditional Poisoned-target bonuses.,Poison is applied and active.,"Puffo, Metallia, tech modes",Poison tick damage and stacking are not assumed.,Discord-derived Drive source,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC027,Weaken,Enemy status,Reduces enemy attack in source descriptions and enables damage to Weakened targets.,Enemy offense and conditional Weakened-target bonuses.,Weaken is applied and active.,"Nutjob, Brick/Twinborn, SS effects",Weaken does not automatically mean increased damage taken unless separately stated.,Discord-derived Drive source,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC028,Laceration,Enemy status,Applies the Lacerated status and enables source-stated damage to Lacerated targets.,Conditional Lacerated-target bonuses.,Laceration is applied and active.,"TMNT survivors, tech modes, Taloxa","Laceration damage, duration and stacking are not generalized.",Discord-derived Drive source,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC029,Bleed,Enemy status / damage over time,Applies Bleed or a Bleed-linked damage effect.,Repeated damage or linked mechanics as stated.,Bleed is applied.,"Katana, Caltrops, Leather Gloves",Bleed and Laceration are not treated as identical unless a source explicitly links them.,Discord-derived Drive source,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
MEC030,Deep Wounds,Enemy damage-taken effect,A fire/Molotov-linked effect that increases damage taken according to source wording.,Damage hitting the affected target.,Deep Wounds is applied and active.,Energy Diffuser Legend / Fuel Barrel,It is not merged with Vulnerability without verified stacking behavior.,Tech Part source,https://survivorio.fandom.com/wiki/Tech_Parts
