Set_ID,Set_Name,Set_Type,Collectible_1,Collectible_2,Collectible_3,Collectible_4,Unlock_Order,Requirement_Type,Required_Value,Unlock_Requirement,Reward,Reward_Tags,Data_Status,Member_Data_Status,Source_URL
SET001,Genesis,1 Red,Human Genome Mapping,Old Medical Book,Savior's Memento,Genetic Keycard,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +200, Final HP +800",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/genesis
SET001,Genesis,1 Red,Human Genome Mapping,Old Medical Book,Savior's Memento,Genetic Keycard,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +300, Final HP +1200",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/genesis
SET001,Genesis,1 Red,Human Genome Mapping,Old Medical Book,Savior's Memento,Genetic Keycard,3,Total Gold Stars,19,Get 19 total Gold Stars,ATK +4%,ATK%,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/genesis
SET001,Genesis,1 Red,Human Genome Mapping,Old Medical Book,Savior's Memento,Genetic Keycard,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +500, Final HP +2000",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/genesis
SET001,Genesis,1 Red,Human Genome Mapping,Old Medical Book,Savior's Memento,Genetic Keycard,5,Total Red Stars,19,Get 19 total Red Stars,ATK +6%,ATK%,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/genesis
SET001,Genesis,1 Red,Human Genome Mapping,Old Medical Book,Savior's Memento,Genetic Keycard,6,Total Stars,8,Get 8 Stars,"Final ATK +200, Final HP +800",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/genesis
SET001,Genesis,1 Red,Human Genome Mapping,Old Medical Book,Savior's Memento,Genetic Keycard,7,Total Stars,16,Get 16 Stars,"Final ATK +300, Final HP +1200",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/genesis
SET001,Genesis,1 Red,Human Genome Mapping,Old Medical Book,Savior's Memento,Genetic Keycard,8,Total Stars,24,Get 24 Stars,"Final ATK +500, Final HP +2000",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/genesis
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Golden Cutlery,Safehouse Map,Bottle Cap,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +200, Final HP +800",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Golden Cutlery,Safehouse Map,Bottle Cap,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +300, Final HP +1200",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Golden Cutlery,Safehouse Map,Bottle Cap,3,Total Gold Stars,19,Get 19 total Gold Stars,HP +4%,HP%,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Golden Cutlery,Safehouse Map,Bottle Cap,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +500, Final HP +2000",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Golden Cutlery,Safehouse Map,Bottle Cap,5,Total Red Stars,19,Get 19 total Red Stars,HP +6%,HP%,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Golden Cutlery,Safehouse Map,Bottle Cap,6,Total Stars,8,Get 8 Stars,"Final ATK +200, Final HP +800",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Golden Cutlery,Safehouse Map,Bottle Cap,7,Total Stars,16,Get 16 Stars,"Final ATK +300, Final HP +1200",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Golden Cutlery,Safehouse Map,Bottle Cap,8,Total Stars,24,Get 24 Stars,"Final ATK +500, Final HP +2000",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Savior's Memento,Lost Outdoor Essential,Glare Flashlight,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Savior's Memento,Lost Outdoor Essential,Glare Flashlight,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Savior's Memento,Lost Outdoor Essential,Glare Flashlight,3,Total Gold Stars,18,Get 18 total Gold Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Savior's Memento,Lost Outdoor Essential,Glare Flashlight,4,Each Red Stars,3,Each Collectible gets 3 Red Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Savior's Memento,Lost Outdoor Essential,Glare Flashlight,5,Total Red Stars,18,Get 18 total Red Stars,"Final ATK +250, Final HP +1000",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Savior's Memento,Lost Outdoor Essential,Glare Flashlight,6,Total Stars,8,Get 8 Stars,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Savior's Memento,Lost Outdoor Essential,Glare Flashlight,7,Total Stars,16,Get 16 Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Savior's Memento,Lost Outdoor Essential,Glare Flashlight,8,Total Stars,24,Get 24 Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Safehouse Map,Terraforming Seed,Gas Mask,1,Get Collectibles,4,Get 4 Collectibles,"Final ATK +50, Final HP +200",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/wasteland-survival
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Safehouse Map,Terraforming Seed,Gas Mask,2,Each Gold Stars,3,Each Collectible gets 3 Gold Stars,"Final ATK +100, Final HP +400",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/wasteland-survival
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Safehouse Map,Terraforming Seed,Gas Mask,3,Total Gold Stars,18,Get 18 total Gold Stars,"Final ATK +150, Final HP +600",ATK% | HP% | Final ATK | Final HP,Exact GarryTools page pattern and member list transcribed,Exact GarryTools member list,https://garrytools.com/guide/collectionsets/wasteland-survival
