Unlock_ID,Pet_ID,Pet,Base_Animal,Availability,Awakening_Type_Group,Preferred_Toy_Group,Track_Type,Stage_Order,Stage,Required_Base_Quality,Requirement,Awakening_Crystal_Cost,Cumulative_Awakening_Crystals,Same_Type_Pet_Count_Shown,Affection_Level_Cap,Maximum_Player_ATK_From_Affection,Unlock_Name,Effect,Effect_Data_JSON,Effect_Target,Effect_Category,Trigger,DPS_Relevant,DPS_Priority,Optimizer_Bucket,Data_Status,Source_URLs
PUN0001,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Base Attack,0,Base Attack,Normal,Deploy this pet in battle.,,,,,,Corrosive Saliva,Spits corrosive saliva that deals 200% of Pet ATK each second for 2 seconds.,"{""damage_percent_per_tick"":200,""tick_interval_seconds"":1,""duration_seconds"":2,""cooldown_seconds"":1}",Pet attack,Damage over time / corrosive,Automatic attack while deployed,Yes,Very High long-term,DirectPetDamage,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0002,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Assist Skill,1,Better Assist Skill,Better,Reach Better quality; the pet receives one random assist skill.,,,,,,Random Assist Skill,Unlocks one random assist skill used when this pet is assigned as an assist.,"{""random_assist_skill_slots"":1}",Deployed pet,Assist,Pet assigned to one of the two assist slots,Conditional,Skill dependent,AssistSkill,Exact pet-system rule,https://onechilledgamer.com/survivor-io-pet-guide/
PUN0003,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Quality Skill,2,Excellent Skill 1,Excellent,Reach Excellent quality.,,,,,,Encouragement,Owner Skill Damage +3%.,"{""owner_skill_damage_percent"":3}",Owner,Encouragement,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Yes,High,OwnerBuff,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0004,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Quality Skill,3,Excellent Skill 2,Excellent,Reach Excellent quality.,,,,,,United Effort,Pet inherited HP +10%.,"{""pet_inherited_hp_percent"":10}",Pet,United Effort,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",No,Survival,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0005,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Quality Skill,4,Epic Skill 1,Epic,Reach Epic quality.,,,,,,Diligence,Owner battle EXP gain +7.5%.,"{""owner_battle_exp_percent"":7.5}",Owner,Diligence,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Indirect,Mode dependent,SurvivalOrUtility,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0006,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Quality Skill,5,Epic Skill 2,Epic,Reach Epic quality.,,,,,,Motivation,Owner Crit Rate +4%.,"{""owner_crit_rate_percent"":4}",Owner,Motivation,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Yes,Very High,OwnerBuff,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0007,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Quality Skill,6,Legend Skill,Legend,Reach Legend quality.,,,,,,Inspiration,Owner Crit Damage +10%.,"{""owner_crit_damage_percent"":10}",Owner,Inspiration,"Pet deployed; after awakening, unlocked skills of matching quality may be swapped.",Yes,High,OwnerBuff,Exact current public guide / Drive transcription,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/; https://game8.jp/dadasurvivor/587791
PUN0008,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,1,Y1,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,5,3,20,900,Corrosion Zone,Creates a small corrosion ring. Corroded enemies take +12% damage for 6 seconds.,"{""vulnerability_percent"":12,""ring_duration_seconds"":6}",Pet / Owner / Skill slot,Vulnerability,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0009,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,2,Y2,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,5,10,3,30,1800,Deploy Skill Slot Quality,Raises the quality of a deploy-skill slot.,"{""deploy_skill_slot_quality_upgrade"":1}",Pet / Owner / Skill slot,Skill slot,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,High,SkillSlot,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PUN0010,PET01,Croaky,Frog,Standard,Group A — Croaky / Cheshire,Robot + Frog,Awakening,3,Y3,Epic,Complete the pet's awakening mission and spend the listed awakening materials. Epic pet required for the Yellow awakening track.,10,20,5,40,2700,Corrosion Zone+,Keeps +12% damage taken for 6 seconds and leaves damaging slime for 3 seconds while moving.,"{""vulnerability_percent"":12,""ring_duration_seconds"":6,""slime_duration_seconds"":3}",Pet / Owner / Skill slot,Vulnerability / Damage,Awakening stage reached; active-skill effects require this pet to be deployed.,Yes,Very High,OwnerDamageAmplifier,Awakening effect exact from current Game8 table; crystal/count/affection values from Drive chart. The source chart's pet-count field is preserved without inventing missing rarity-icon detail.,https://game8.jp/dadasurvivor/587791; https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
