Equipment_ID,Slot,Equipment,Aliases,Equipment_Tier,Faction,Primary_Equipment_Stat,Normal,Good,Better,Excellent,Epic,Legend,Relic,Source_Status,Drive_Source_URL,Wiki_or_Web_Source_URL
EQ001,Weapon,Void Power,,S,Void,ATK,No quality skill.,ATK +15%.,All projectile range +15%.,Return to Zero: Released black holes explode before fading.,ATK +25%.,Neogenesis: Energy Veil explodes when shattered.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1TPMsAABEdn06GywcNzh4F8ODCR7i1__U,https://survivorio.fandom.com/wiki/Void_Power
EQ002,Weapon,Lightchaser,,S,Eternal,ATK,No quality skill.,ATK +15%.,All attack intervals -15%.,Triggers a backward slash every 5 attacks.,ATK +25%.,Leaves behind a Sword Array every 10 attacks.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1TPMsAABEdn06GywcNzh4F8ODCR7i1__U,https://survivorio.fandom.com/wiki/Lightchaser
EQ003,Weapon,Sword of Disorder,,S,Chaos,ATK,No quality skill.,ATK +15%.,All skill damage +15%.,"Shackle: Enemies slain by Sword of Disorder have their souls shackled. More shackled souls increase skill damage, up to 30%. Souls dissipate when the hero is hit.",ATK +25%.,"Soul Blast: When souls dissipate, consumes up to 100 souls and deals heavy full-screen damage. Damage scales with the number of souls.",Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1TPMsAABEdn06GywcNzh4F8ODCR7i1__U,https://survivorio.fandom.com/wiki/Sword_of_Disorder
EQ004,Weapon,Kunai,,Normal,Standard,ATK,No quality skill.,ATK +10%.,Kunai damage +30%.,Start each battle with Lv.2 Kunai.,ATK +15%.,Kunai splits after hitting an enemy.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1TPMsAABEdn06GywcNzh4F8ODCR7i1__U,https://survivorio.fandom.com/wiki/Kunai
EQ005,Weapon,Baseball Bat,,Normal,Standard,ATK,No quality skill.,ATK +10%.,Attacks inflict Bleed.,Knockback distance doubled.,ATK +15%.,Swing range becomes circular.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1TPMsAABEdn06GywcNzh4F8ODCR7i1__U,https://survivorio.fandom.com/wiki/Baseball_Bat
EQ006,Weapon,Katana,,Normal,Standard,ATK,No quality skill.,ATK +10%.,Adds 1 blade wave.,Blade waves also release ki blasts.,ATK +15%.,Blade waves heal 3% HP when an enemy is hit.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1TPMsAABEdn06GywcNzh4F8ODCR7i1__U,https://survivorio.fandom.com/wiki/Katana
EQ007,Weapon,Shotgun,,Normal,Standard,ATK,No quality skill.,ATK +10%.,Deals 2x damage to enemies in front.,Shotgun range extended.,ATK +15%.,Shotgun pierces all enemies.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1TPMsAABEdn06GywcNzh4F8ODCR7i1__U,https://survivorio.fandom.com/wiki/Shotgun
EQ008,Weapon,Revolver,,Normal,Standard,ATK,No quality skill.,ATK +10%.,Reload time -2 seconds.,Restores 1 bullet after an enemy is killed.,ATK +15%.,Creates a minor explosion when an enemy is hit.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1TPMsAABEdn06GywcNzh4F8ODCR7i1__U,https://survivorio.fandom.com/wiki/Revolver
EQ009,Necklace,Eternal Necklace,,S,Eternal,ATK,No quality skill.,"The higher the target's HP, the more damage dealt.",ATK +15%.,Deals additional damage to enemies at full HP.,ATK +25%.,All passive effects +15% in battle.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/17OR-GERnGza1-VXF9pFlzU-HMRZOtLyj,https://survivorio.fandom.com/wiki/Eternal_Necklace
EQ010,Necklace,Metal Neckguard,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,First passive effect gained +30%.,Most recently gained passive effect +30%.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/17OR-GERnGza1-VXF9pFlzU-HMRZOtLyj,https://survivorio.fandom.com/wiki/Metal_Neckguard
EQ011,Necklace,Stone of Cleaving,,S,Chaos,ATK,No quality skill.,"Creates a mirage each time damage is taken. Mirages cannot attack, but emit a Slow aura. Up to 1 mirage can exist.",ATK +15%.,Maximum created mirages +1; Slow aura range doubled.,ATK +25%.,Mirages siphon HP from Slowed enemies to restore the hero's HP.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/17OR-GERnGza1-VXF9pFlzU-HMRZOtLyj,https://survivorio.fandom.com/wiki/Stone_of_Cleaving
EQ012,Necklace,Trendy Charm,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,"Skill cooldown -2% for every 200 monsters killed, up to -10%.",Maximum cooldown reduction increases to -30%.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/17OR-GERnGza1-VXF9pFlzU-HMRZOtLyj,https://survivorio.fandom.com/wiki/Trendy_Charm
EQ013,Necklace,Voidwaker Emblem,,S,Void,ATK,No quality skill.,Gain Berserk for 5 seconds when leveling up: damage +40%.,ATK +15%.,"The lower the hero's HP, the higher the damage. Activates below 50% HP; maximum +40% damage.",ATK +25%.,"The lower the hero's HP, the higher the Crit Rate. Activates below 50% HP; maximum +40% Crit Rate.",Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/17OR-GERnGza1-VXF9pFlzU-HMRZOtLyj,https://survivorio.fandom.com/wiki/Voidwaker_Emblem
EQ014,Necklace,Army Nameplate,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,Gain Inspire after defeating an Elite or Boss. Inspire grants +20% damage and fades when the hero is hit.,Inspire damage increases to +50%.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/17OR-GERnGza1-VXF9pFlzU-HMRZOtLyj,https://survivorio.fandom.com/wiki/Army_Nameplate
EQ015,Necklace,Bone Pendant,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,Monsters in range are Slowed.,Greatly increases the Slow effect.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/17OR-GERnGza1-VXF9pFlzU-HMRZOtLyj,https://survivorio.fandom.com/wiki/Bone_Pendant
EQ016,Necklace,Emerald Pendant,,Normal,Standard,ATK,No quality skill.,No quality skill.,ATK +10%.,Generates a radiation ring that deals damage over time.,All radiation-ring damage doubled.,ATK +15%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/17OR-GERnGza1-VXF9pFlzU-HMRZOtLyj,https://survivorio.fandom.com/wiki/Emerald_Pendant
EQ017,Gloves,Eternal Gloves,,S,Eternal,ATK,No quality skill.,ATK +20% while HP is above 50%.,ATK +15%.,Attacks have a 10% chance to Crit.,ATK +25%.,Crit Rate +10%; Crit Damage +100%.,Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1s38RH7uJzsz_wgHhCgYxY5LaKNZ9LB11,https://survivorio.fandom.com/wiki/Eternal_Gloves
EQ018,Gloves,Voidwaker Handguards,,S,Void,ATK,No quality skill.,Destructive Nature: Instantly defeats non-boss enemies below 20% HP.,ATK +15%.,Blood Suppression: +50% damage against Elites and Bosses.,ATK +25%.,"Sanguine Aura: Enemies within a certain radius gradually wither, losing 1% HP every 0.1 seconds. Ineffective against bosses.",Not applicable.,Drive chart transcribed and wiki cross-checked,https://drive.google.com/file/d/1s38RH7uJzsz_wgHhCgYxY5LaKNZ9LB11,https://survivorio.fandom.com/wiki/Voidwaker_Handguards
