Collection_ID,Collectible,Source_Name,Rarity,Edition,Affected_Gear_or_Tech,Game_Data_Description,Crit_Milestone,Yellow_1,Yellow_2,Yellow_3,Yellow_4,Yellow_5,Red_1,Red_2,Red_3,Red_4,Red_5,Additional_Modeled_Effects,Data_Status,Source_URL
1,Human Genome Mapping,Human Genome Mapping,Legend,1,Sword of Disorder,LegendCollectible. Used to boost Sword of Disorder,Crit Damage +10%,Sword of Disorder ATK +3%,Sword of Disorder ATK +3%,Sword of Disorder Better-quality skill boosted: All skill damage +15% +10%,Sword of Disorder ATK +3%,Sword of Disorder Excellent-quality skill boosted: Shackle — souls of enemies hit are shackled; more shackled souls add more skill damage (maximum 30% +20%); souls dissipate on hit,Sword of Disorder ATK +3%,Sword of Disorder ATK +4%,Crit Damage +10%,Sword of Disorder ATK +4%,Sword of Disorder Legend-quality skill boosted: Soul Blast — consumes 100 souls and deals high full-screen damage when souls dissipate; damage scales with soul count (source text is truncated after this point),,Full effect text retrieved directly from GarryTools,https://garrytools.com/collections/info?collectionId=1
2,Book of Ancient Wisdom,Book of Ancient Wisdom,Legend,1,Void Power,LegendCollectible. Used to boost Void Power,Crit Rate +10%,Void Power ATK +3%,Void Power ATK +3%,Void Power Better-quality skill boosted: All projectile range +15% +10%,Void Power ATK +3%,Void Power Excellent-quality skill boosted: Return to Zero — released black holes explode before fading; explosion damage +60%,Void Power ATK +3%,Void Power ATK +4%,Crit Rate +10%,Void Power ATK +4%,Void Power Legend-quality skill boosted: Neogenesis — Energy Veil explodes when shattered; explosion damage +60%,,Full effect text retrieved directly from GarryTools,https://garrytools.com/collections/info?collectionId=2
31,Immortal Lucky Coin,Immortal Lucky Coin,Legend,2,Lightchaser,Legend Collectible. Used to boost Lightchaser,Crit Damage +10%,Lightchaser ATK +3%,Lightchaser ATK +3%,Lightchaser Better-quality skill boosted: Backward Slash trigger requirement -1; Sword Array trigger requirement -2; Backward Slash damage +10%,Lightchaser ATK +3%,Lightchaser Excellent-quality skill boosted: Backward Slash trigger requirement -1; Sword Array trigger requirement -2; Sword Array damage +10%,Lightchaser ATK +3%,Lightchaser ATK +4%,Crit Damage +10%,Lightchaser ATK +4%,Lightchaser Legend-quality skill boosted: Backward Slash and Sword Array damage +20%,,Full effect text retrieved directly from GarryTools,https://garrytools.com/collections/info?collectionId=31
32,Instellar Transition Matrix Design,Instellar Transition Matrix Design,Legend,2,Precision Device,Legend Collectible. Used to boost Precision Device,Crit Rate +10%,Precision Device ATK +3%,Precision Device ATK +3%,Drone skill boosted: Drone missile count +5%,Precision Device ATK +3%,Drone skill boosted: Drone missile-volley damage +5%,Precision Device ATK +3%,Precision Device ATK +4%,Crit Rate +10%,Precision Device ATK +4%,Drone skill boosted: Drone missile count +10% and missile-volley damage +10%,3★: Internal Effect H1 5% | 5★: Internal Effect H2 5% | 10★: Internal Effect H1 15%; Internal Effect H2 15%,Full effect text retrieved directly from GarryTools,https://garrytools.com/collections/info?collectionId=32
51,Angelic Tear Crystal,Angelic Tear Crystal,Legend,3,Nanobot,LegendCollectible. Used to boost Nanobot,Crit Damage +10%,Nanobot HP +3%,Nanobot HP +3%,Durian skill boosted: Caltrops spike damage +100%,Nanobot HP +3%,Durian skill boosted: Durian and Caltrops damage +20%,Nanobot HP +3%,Nanobot HP +4%,Crit Damage +10%,Nanobot HP +4%,Durian skill boosted: Durian and Caltrops damage rate +30%,,Full effect text retrieved directly from GarryTools,https://garrytools.com/collections/info?collectionId=51
52,Unicorn's Horn,Unicorn's Horn,Legend,3,Exo-skeleton,LegendCollectible. Used to boost Exo-skeleton,Crit Damage +10%,Exo-skeleton stat +3%,Exo-skeleton stat +3%,Exo-skeleton Better-quality skill boosted (exact wording not captured),Exo-skeleton stat +3%,Exo-skeleton Excellent-quality skill boosted (exact wording not captured),Exo-skeleton stat +3%,Exo-skeleton stat +4%,Crit Damage +10%,Exo-skeleton stat +4%,Exo-skeleton Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=52
75,Otherworld Key,Otherworld Key,Legend,3,Quantum Polarizer,Legend Collectible. Used to boost Quantum Polarizer,Crit Rate +10%,Quantum Polarizer stat +3%,Quantum Polarizer stat +3%,Quantum Polarizer Better-quality skill boosted (exact wording not captured),Quantum Polarizer stat +3%,Quantum Polarizer Excellent-quality skill boosted (exact wording not captured),Quantum Polarizer stat +3%,Quantum Polarizer stat +4%,Crit Rate +10%,Quantum Polarizer stat +4%,Quantum Polarizer Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=75
76,Starcore Diamond,Starcore Diamond,Legend,3,Phase Converter,Legend Collectible. Used to boost Phase Converter,Crit Rate +10%,Phase Converter stat +3%,Phase Converter stat +3%,Phase Converter Better-quality skill boosted (exact wording not captured),Phase Converter stat +3%,Phase Converter Excellent-quality skill boosted (exact wording not captured),Phase Converter stat +3%,Phase Converter stat +4%,Crit Rate +10%,Phase Converter stat +4%,Phase Converter Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=76
79,High-Lat Energy Cube,High-Lat Energy Cube,Legend,4,Eternal Suit,Legend Collectible. Used to boost Eternal Suit,Crit Damage +10%,Eternal Suit stat +3%,Eternal Suit stat +3%,Eternal Suit Better-quality skill boosted (exact wording not captured),Eternal Suit stat +3%,Eternal Suit Excellent-quality skill boosted (exact wording not captured),Eternal Suit stat +3%,Eternal Suit stat +4%,Crit Damage +10%,Eternal Suit stat +4%,Eternal Suit Legend-quality skill boosted (exact wording not captured),10★: Skill Damage 20%,Roster + standard milestone pattern + numerical effects from game calculator data,https://garrytools.com/collections/info?collectionId=79
80,Void Bloom,Void Bloom,Legend,4,Eternal Belt,Legend Collectible. Used to boost Eternal Belt,Crit Damage +10%,Eternal Belt stat +3%,Eternal Belt stat +3%,Eternal Belt Better-quality skill boosted (exact wording not captured),Eternal Belt stat +3%,Eternal Belt Excellent-quality skill boosted (exact wording not captured),Eternal Belt stat +3%,Eternal Belt stat +4%,Crit Damage +10%,Eternal Belt stat +4%,Eternal Belt Legend-quality skill boosted (exact wording not captured),,Roster + standard milestone pattern,https://garrytools.com/collections/info?collectionId=80
