Rule_ID,Category,Rule_Name,Requirement,What_It_Unlocks_or_Changes,Optimizer_Impact,DPS_Relevant,Data_Status,Source_URLs
TRULE001,Access,Unlock Tech Parts,Reach the Chapter 6 / early Regular Challenge unlock path.,Unlocks Tech Parts and 3 offensive + 3 defensive equipment slots.,Do not recommend tech spending before the feature is available.,Yes,Discord-derived guide; onboarding wording may change,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TRULE002,Base Tech,Offensive Slot Limit,Unlock the Tech system.,Up to 3 offensive tech parts may be equipped.,Optimizer must enforce slot count and prevent duplicate active slots when the game disallows them.,Yes,Current game-system rule,https://survivorio.fandom.com/wiki/Tech_Parts
TRULE003,Base Tech,Defensive Slot Limit,Unlock the Tech system.,Up to 3 defensive tech parts may be equipped.,"Defensive tech may still be DPS-relevant through RPG, Brick, Boomerang, Forcefield, Durian and Twinborn.",Yes,Current game-system rule,https://survivorio.fandom.com/wiki/Tech_Parts
TRULE004,Resonance,Unlock Normal Resonance,Own a Legend tech part.,Allows support tech parts to add Resonance Energy to a normal main tech.,Creates a separate investment path from rarity merging.,Yes,Exact Drive rule,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TRULE005,Resonance,Normal Assist Restriction,Use normal resonance.,Offensive main tech accepts offensive assists; defensive main tech accepts defensive assists. Same-tech assists are allowed.,Restrict candidate fodder by tech category.,Yes,Exact Drive rule,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TRULE006,Resonance,Normal Resonance Maximum,3 Eternal assists and a 3.0x multiplier.,"Maximum 9,000 normal-tech Resonance Energy; multiplier costs 60 chips.",Stop evaluating additional normal resonance after the cap.,Yes,Exact Drive/model rule,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://sio-tools.exp0.dev/
TRULE007,Twinborn,Unlock a Twinborn Pair,Merge the paired Legend offensive and Legend defensive parts.,Creates two switchable modes based on the same pair.,Reserve one Legend copy of each required part before consuming them as assists or merge fodder.,Yes,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TRULE008,Twinborn,One Mode at a Time,Own a Twinborn pair.,Only one side of the pair may be equipped; modes can be switched or unmerged.,"Treat the two modes as mutually exclusive build choices, not additive equipped effects.",Yes,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
TRULE009,Twinborn,Twinborn Assist Freedom,Use Twinborn resonance.,Any offensive or defensive tech can be used as resonance support; same tech is allowed.,Search a wider support allocation space than normal resonance.,Yes,Exact Drive rule,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TRULE010,Twinborn,Twinborn Resonance Maximum,"3 Eternal assists, 90 chips and 10 additional Legend techs.","Maximum 15,000 Twinborn Resonance Energy and a 5.0x multiplier.",Large endgame resource sink; compare each step rather than targeting max automatically.,Yes,Exact Drive/model rule,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://sio-tools.exp0.dev/
