Cost_ID,Cost_Category,System_Type,Stage_Order,Stage,Requirement,Incremental_Cost,Cumulative_Cost,Cost_Unit,Resonance_Energy_Granted,Resonance_Multiplier,Minimum_Resonance,Additional_Legend_Tech_Required,Offensive_Base_Stat_Total,Defensive_Base_Stat_Total,Optimizer_Use,Data_Status,Source_URLs
TCOST001,Merge Grade,Base Tech Part,1,Normal,Merge through Normal quality.,1,1,Normal-equivalent tech parts,,,,,25,100,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST002,Merge Grade,Base Tech Part,2,Good,Merge through Good quality.,3,3,Normal-equivalent tech parts,,,,,50,200,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST003,Merge Grade,Base Tech Part,3,Better,Merge through Better quality.,3,9,Normal-equivalent tech parts,,,,,80,320,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST004,Merge Grade,Base Tech Part,4,Excellent,Merge through Excellent quality.,3,27,Normal-equivalent tech parts,,,,,120,480,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST005,Merge Grade,Base Tech Part,5,Excellent+1,Merge through Excellent+1 quality.,27,54,Normal-equivalent tech parts,,,,,200,800,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST006,Merge Grade,Base Tech Part,6,Excellent+2,Merge through Excellent+2 quality.,54,108,Normal-equivalent tech parts,,,,,300,1200,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST007,Merge Grade,Base Tech Part,7,Epic,Merge through Epic quality.,108,216,Normal-equivalent tech parts,,,,,450,1800,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST008,Merge Grade,Base Tech Part,8,Epic+1,Merge through Epic+1 quality.,216,432,Normal-equivalent tech parts,,,,,700,2800,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST009,Merge Grade,Base Tech Part,9,Epic+2,Merge through Epic+2 quality.,432,864,Normal-equivalent tech parts,,,,,950,3800,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST010,Merge Grade,Base Tech Part,10,Epic+3,Merge through Epic+3 quality.,864,1728,Normal-equivalent tech parts,,,,,1200,4800,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST011,Merge Grade,Base Tech Part,11,Legend,Merge through Legend quality.,1728,3456,Normal-equivalent tech parts,,,,,1500,6000,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST012,Merge Grade,Base Tech Part,12,Legend+1,Merge through Legend+1 quality.,3456,6912,Normal-equivalent tech parts,,,,,,,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST013,Merge Grade,Base Tech Part,13,Legend+2,Merge through Legend+2 quality.,3456,10368,Normal-equivalent tech parts,,,,,,,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST014,Merge Grade,Base Tech Part,14,Legend+3,Merge through Legend+3 quality.,3456,13824,Normal-equivalent tech parts,,,,,,,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST015,Merge Grade,Base Tech Part,15,Legend+4,Merge through Legend+4 quality.,3456,17280,Normal-equivalent tech parts,,,,,,,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST016,Merge Grade,Base Tech Part,16,Eternal,Merge through Eternal quality.,6912,24192,Normal-equivalent tech parts,,,,,,,Opportunity cost of consuming tech copies. Preserve parts needed for Twinborn or resonance before merging.,Merge equivalence from current supplied model; base-stat totals through Legend from current wiki table,https://survivorio.fandom.com/wiki/Merging; https://survivorio.fandom.com/wiki/Tech_Parts; https://sio-tools.exp0.dev/
TCOST017,Assist Resonance Energy,Normal and Twinborn,1,Epic,Equip a Epic assist tech part.,,,Resonance Energy,50,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST018,Assist Resonance Energy,Normal and Twinborn,2,Epic+1,Equip a Epic+1 assist tech part.,,,Resonance Energy,100,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST019,Assist Resonance Energy,Normal and Twinborn,3,Epic+2,Equip a Epic+2 assist tech part.,,,Resonance Energy,150,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST020,Assist Resonance Energy,Normal and Twinborn,4,Epic+3,Equip a Epic+3 assist tech part.,,,Resonance Energy,200,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST021,Assist Resonance Energy,Normal and Twinborn,5,Legend,Equip a Legend assist tech part.,,,Resonance Energy,300,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST022,Assist Resonance Energy,Normal and Twinborn,6,Legend+1,Equip a Legend+1 assist tech part.,,,Resonance Energy,400,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST023,Assist Resonance Energy,Normal and Twinborn,7,Legend+2,Equip a Legend+2 assist tech part.,,,Resonance Energy,550,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
TCOST024,Assist Resonance Energy,Normal and Twinborn,8,Legend+3,Equip a Legend+3 assist tech part.,,,Resonance Energy,700,,,,,,Use the highest marginal energy value without consuming a part needed for an imminent Twinborn or rarity breakpoint.,Exact supplied sIO Tools model,https://sio-tools.exp0.dev/; https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c
