Mount_ID,Mount,Completed_Lines,Required_Mount_Stage,Line_Available_At_Stage_Index,Incremental_Line_Effect,Cumulative_Line_Effect,Applies_When,Data_Status,Source_URLs
MNT01,Electric Scooter,1,0★,0,Weakened Damage +10%,Weakened Damage +10%,The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT01,Electric Scooter,2,0★,0,No additional stat at this threshold.,Weakened Damage +10%,The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT01,Electric Scooter,3,0★,0,"Weakened Damage +15%, Crit Damage +20%","Weakened Damage +25%, Crit Damage +20%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT01,Electric Scooter,4,0★,0,Crit Damage +35%,"Weakened Damage +25%, Crit Damage +55%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT01,Electric Scooter,5,Y2,2,Lacerated Damage +10%,"Weakened Damage +25%, Crit Damage +55%, Lacerated Damage +10%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT01,Electric Scooter,6,Y4,4,"Weakened Damage +20%, Crit Damage +55%","Weakened Damage +45%, Crit Damage +110%, Lacerated Damage +10%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT01,Electric Scooter,7,R2,6,"Weakened Damage +35%, Crit Damage +90%","Weakened Damage +80%, Crit Damage +200%, Lacerated Damage +10%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT01,Electric Scooter,8,R4,8,Lacerated Damage +20%,"Weakened Damage +80%, Crit Damage +200%, Lacerated Damage +30%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT02,Tech Hoverboard,1,0★,0,"Chilled Damage +15%, Skill Damage +10%","Chilled Damage +15%, Skill Damage +10%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT02,Tech Hoverboard,2,0★,0,No additional stat at this threshold.,"Chilled Damage +15%, Skill Damage +10%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT02,Tech Hoverboard,3,0★,0,"Chilled Damage +25%, Skill Damage +15%","Chilled Damage +40%, Skill Damage +25%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT02,Tech Hoverboard,4,0★,0,Shield Damage +40%,"Chilled Damage +40%, Skill Damage +25%, Shield Damage +40%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT02,Tech Hoverboard,5,Y2,2,Chilled Damage +60%,"Chilled Damage +100%, Skill Damage +25%, Shield Damage +40%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT02,Tech Hoverboard,6,Y4,4,"Chilled Damage +40%, Skill Damage +30%","Chilled Damage +140%, Skill Damage +55%, Shield Damage +40%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT02,Tech Hoverboard,7,R2,6,"Chilled Damage +60%, Skill Damage +45%","Chilled Damage +200%, Skill Damage +100%, Shield Damage +40%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT02,Tech Hoverboard,8,R4,8,Shield Damage +60%,"Chilled Damage +200%, Skill Damage +100%, Shield Damage +100%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT03,Doomsteed,1,0★,0,Poisoned Damage +20%,Poisoned Damage +20%,The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT03,Doomsteed,2,0★,0,No additional stat at this threshold.,Poisoned Damage +20%,The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT03,Doomsteed,3,0★,0,"Poisoned Damage +40%, Skill Damage +50%","Poisoned Damage +60%, Skill Damage +50%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT03,Doomsteed,4,0★,0,Skill Damage +150%,"Poisoned Damage +60%, Skill Damage +200%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MNT03,Doomsteed,5,Y2,2,No additional stat at this threshold.,"Poisoned Damage +60%, Skill Damage +200%",The mount is active and the required number of horizontal component rows are completely filled.,Exact cumulative line-effect model from supplied sIO Tools snapshot; line-unlock stages from Drive.,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
