Pet_ID,Pet,Base_Animal,Availability,Awakening_Available,Awakening_Type_Group,Preferred_Toy_Group,Primary_Attack,Primary_Attack_Effect,Attack_Data_JSON,Damage_Type,Excellent_Skills,Epic_Skills,Legend_Skill,Y1_Awakening,Y5_Awakening,R5_Awakening,Recommended_Stage,Recommended_Assist_Skills,Recommended_Dispositions,DPS_Priority,Optimizer_Notes,Data_Status,Source_URLs
PET01,Croaky,Frog,Standard,Yes,Group A — Croaky / Cheshire,Robot + Frog,Corrosive Saliva,Spits corrosive saliva that deals 200% of Pet ATK each second for 2 seconds.,"{""damage_percent_per_tick"":200,""tick_interval_seconds"":1,""duration_seconds"":2,""cooldown_seconds"":1}",Damage over time / corrosive,Encouragement: Owner Skill Damage +3%. | United Effort: Pet inherited HP +10%.,Diligence: Owner battle EXP gain +7.5%. | Motivation: Owner Crit Rate +4%.,Inspiration: Owner Crit Damage +10%.,Corrosion Zone: Creates a small corrosion ring. Corroded enemies take +12% damage for 6 seconds.,Large Corrosion Zone: Creates a larger ring: +12% damage taken for 6 seconds and 3-second slime trails.,Corrosion Zone Maximum: Large ring: enemies take +20% damage for 8 seconds and slime lasts 5 seconds.,R5 target,Boost; Raid (Gary-exclusive); Strong,Shrewd; Hot-blooded; Battler,Very High long-term,"Strong owner/pet hybrid. Adds owner Skill Damage, Crit Rate, Crit Damage and an awakening damage-taken debuff.",Full standard quality and awakening track,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PET02,Neemo,Fish,Standard,Yes,Group C — Neemo / Shelly,Fish + Eagle,Explosive Bubbles,Fires a bubble dealing 200% Pet ATK on hit and another 200% on explosion.,"{""hit_damage_percent"":200,""explosion_damage_percent"":200,""cooldown_seconds"":1}",Projectile / explosion,Diligence: Owner battle EXP gain +5%. | Guard: Owner collision damage reduction +10%.,Barrier: Owner ranged/shot damage reduction +15%. | Gargantua: Pet size and attack range +20%.,"Time Stop: Below 30% owner HP, freezes enemies for 5 seconds and grants invincibility; 60-second cooldown.","Guard Bubble: Creates a 3-second bubble, pushes small monsters away and heals 3% HP each second; 30-second cooldown.",Damaging Guard Bubble: Heals 5% HP each second and continuously damages nearby monsters; 30-second cooldown.,Guard Bubble Maximum: Heals 10% HP each second and continuously damages nearby monsters; 18-second cooldown.,Balanced Y-levels for affection ATK,Powerful; Boost; Durable when projectile duration matters,Build dependent,Medium,Moderate direct damage; most unique value is Guard Bubble and Time Stop utility rather than pure DPS.,Full standard quality and awakening track,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PET03,Rex,Dog,Standard,Yes,Group D — Rex / DD-6,Dog + Cat,Cacophonia,Yells at enemies for 250% Pet ATK damage.,"{""damage_percent"":250,""cooldown_seconds"":1}",Area / sound,Motivation: Owner Crit Rate +3%. | Inspiration: Owner Crit Damage +6%.,High Windchaser: Pet movement speed +75%. | Vampirism: Pet heals for 2% of attack damage.,Utmost Loyalty: Pet takes 30% of incoming owner damage.,Encouraging Roar: Owner and pet ATK +5% for 3 seconds.,Encouraging Roar II: Owner and pet ATK +5% and owner Crit Damage +5% for 3 seconds.,"Encouraging Roar Maximum: Owner and pet ATK +10%, owner Crit Damage +10%, and owner attack cooldown -5% for 5 seconds.",R5 target,Raid (Gary-exclusive); Strong; account-dependent fourth skill,Hot-blooded; Battler,Very High advanced,"Late-game owner buffer. R5 supplies owner/pet ATK, owner Crit Damage and owner attack cooldown reduction.",Full standard quality and awakening track,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PET04,Shelly,Turtle,Standard,Yes,Group C — Neemo / Shelly,Turtle + Crab,Turtle Surge,Leaps and creates a shockwave dealing 300% Pet ATK damage.,"{""damage_percent"":300,""cooldown_seconds"":1}",Area shockwave,Barrier: Owner ranged/shot damage reduction +10%. | Guard: Owner collision damage reduction +10%.,Unyielding Will: Pet revival time -30%. | United Effort: Pet inherited HP +15%.,Tough Skin: Pet damage taken -60%.,Attraction Vortex: Pulls nearby monsters; pet damage taken -10% during the effect; 24-second cooldown.,"Guardian Vortex: Large pull, pet damage taken -20%, and while alive Shelly absorbs 50% of owner damage; 24-second cooldown.",Guardian Vortex Maximum: Cooldown 16 seconds; owner damage taken -20% and Shelly absorbs 50% of owner damage.,Balanced Y-levels for affection ATK,Strong; survival-oriented assists,Build dependent,Low / Medium,"Tank pet. Store damage reduction and damage transfer for survival, but exclude them from a pure DPS objective.",Full standard quality and awakening track,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PET05,Murica,Eagle,Standard,Yes,Group B — Crabobble / Murica,Fish + Eagle,Dervish,Creates a penetrating whirlwind dealing 350% Pet ATK damage.,"{""damage_percent"":350,""cooldown_seconds"":1,""penetrates_all"":true}",Penetrating projectile / whirlwind,Gargantua: Pet size and attack range +15%. | Sharp Claws: Pet Skill Damage +15%.,Battle Lust: Pet attack and skill cooldown -20%. | High Windchaser: Pet movement speed +75%.,Crush: Pet attacks have a 5% chance to deal 10× damage to enemies below 50% HP.,"Rapid Fire Feathers: Fires 4 feathers. Repeated hits on one target reduce skill cooldown by 2% per hit, up to 20%.",Feather Damage Stacks: Each repeated hit gives cooldown -2% and damage +2.5%; caps are -35% cooldown and +40% damage.,Rapid Fire Feathers Maximum: Each repeated hit gives cooldown -6% and damage +10%; caps are -50% cooldown and +90% damage.,Y1 early; Y5 before considering Rex/Croaky,Raid (Gary-exclusive); Powerful; Boost; Penetration,Shrewd; Hot-blooded; Battler,Very High early and midgame,Best early direct boss-DPS pet. Value falls when pet damage becomes a small share of total account damage.,Full standard quality and awakening track,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PET06,Cheshire,Cat,Standard,Yes,Group A — Croaky / Cheshire,Dog + Cat,Scratch,Scratches for 200% Pet ATK damage with a fast 0.5-second cooldown.,"{""damage_percent"":200,""cooldown_seconds"":0.5}",Fast melee,Frenzy: Pet attack and skill Crit Rate +15%. | United Effort: Pet inherited HP +10%.,Battle Lust: Pet attack and skill cooldown -20%. | Sharp Claws: Pet Skill Damage +20%.,Nine Lives: Nullifies fatal damage to owner and pet and heals allies for 50% HP; 100-second cooldown.,Spinning Yarn Balls: Throws 3 yarn balls that repeatedly damage enemies along their paths.,Large Yarn Balls II: Throws 6 large yarn balls with periodic path damage.,Yarn Barrage Maximum: Throws 12 large yarn balls with higher-frequency damage and Slow.,Balanced Y-levels; stronger if using pet crit/cooldown skills,Raid; Powerful; Boost,Hot-blooded; Battler,High,"Fast attacks, pet Crit Rate and cooldown give real DPS. Nine Lives is survival-only.",Full standard quality and awakening track,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PET07,Crabobble,Crab,Standard,Yes,Group B — Crabobble / Murica,Turtle + Crab,Water Shot,Fires a 500% Pet ATK water projectile that penetrates 2 enemies.,"{""damage_percent"":500,""cooldown_seconds"":1.5,""penetration_count"":2}",High-damage projectile,Vampirism: Pet heals for 1% of attack damage. | Sharp Claws: Pet Skill Damage +15%.,Frenzy: Pet attack and skill Crit Rate +20%. | United Stand: Pet inherited ATK +15%.,Battle Lust: Pet attack and skill cooldown -30%.,"Fatal Pincer: Creates a claw wave. Each enemy defeated by the skill grants +25% skill damage, up to +200%.","Fatal Pincer II: Each kill gives cooldown -0.3 seconds and skill damage +25%, up to +250%.","Fatal Pincer Maximum: Each kill gives cooldown -0.5 seconds and skill damage +50%, up to +350%.",Balanced Y-levels; strong direct-pet-DPS alternative,Raid; Powerful; Penetration,Hot-blooded; Battler,High / Very High,"Clean direct DPS scaling from large base attack, Crit Rate, inherited ATK and cooldown reduction.",Full standard quality and awakening track,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PET08,DD-6,Robot,Standard,Yes,Group D — Rex / DD-6,Robot + Frog,Burning Lasers,"Fires 3 lasers, each dealing 400% Pet ATK damage.","{""laser_count"":3,""damage_percent_per_laser"":400,""cooldown_seconds"":1}",Multi-laser / hit-consistency dependent,Battle Lust: Pet attack and skill cooldown -15%. | Unyielding Will: Pet revival time -20%.,Tough Skin: Pet damage taken -40%. | United Stand: Pet inherited ATK +15%.,Satellite Cannon: Blasts an area for 1000% Pet ATK every 5 seconds; damage +250% when the owner levels up.,Laser Cannon: Sweeps a small frontal area; 20-second cooldown.,Wide Laser Cannon: Sweeps a wide frontal area; 12-second cooldown.,Surrounding Laser Cannon: Sweeps around the pet; 6-second cooldown.,Balanced Y-levels; test real hit rate,Powerful; Raid; Boost,Shrewd; Battler,High theoretical,High theoretical laser and Satellite Cannon damage. Apply a hit-consistency multiplier in real DPS calculations.,Full standard quality and awakening track,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://game8.jp/dadasurvivor/587791; https://onechilledgamer.com/survivor-io-pet-guide/
PET09,Gary,Snail,Limited collaboration,No,No supported awakening group,No favorite toy currently documented,Corrosive Slime Trail,"Leaves corrosive slime while moving, dealing 200% Pet ATK every 0.5 seconds for 4 seconds; damage +35% when owner levels up.","{""damage_percent_per_tick"":200,""tick_interval_seconds"":0.5,""duration_seconds"":4,""damage_after_owner_level_up_percent"":35}",Persistent damage over time,Inspiration: Owner Crit Damage +6%. | Guard: Owner collision damage reduction +10%.,Motivation: Owner Crit Rate +4%. | Tough Skin: Pet damage taken -40%.,United Effort: Pet inherited HP +20%.,Not supported,Not supported,Not supported,Legend if already owned; awakening unavailable,Gary is the source of the exclusive Raid assist skill,Awakening/disposition switching unavailable,Support / Raid source,Important mainly because Raid is Gary-exclusive. Limited collaboration pet; no normal awakening or skill-swapping support.,Collaboration quality skills only; awakening and skill swapping are not supported,https://game8.jp/dadasurvivor/555253; https://onechilledgamer.com/survivor-io-pet-guide/
PET10,Karen,Computer / robot companion,Limited collaboration,No,No supported awakening group,No favorite toy currently documented,Single Laser,Fires one laser dealing 600% Pet ATK with a 0.5-second cooldown; damage +25% when owner levels up.,"{""damage_percent"":600,""cooldown_seconds"":0.5,""damage_after_owner_level_up_percent"":25}",Fast single-target laser,Inspiration: Owner Crit Damage +6%. | Guard: Owner collision damage reduction +10%.,Motivation: Owner Crit Rate +4%. | Tough Skin: Pet damage taken -40%.,United Effort: Pet inherited HP +20%.,Not supported,Not supported,Not supported,Legend if already owned; awakening unavailable,Powerful; Raid if Gary is owned; Boost,Awakening/disposition switching unavailable,High base attack / limited progression,"Very strong base attack pattern, but limited collaboration availability and no supported normal awakening track.",Collaboration quality skills only; awakening and skill swapping are not supported,https://game8.jp/dadasurvivor/585217; https://onechilledgamer.com/survivor-io-pet-guide/
