Unlock_ID,Entity_Type,Entity_ID,System_or_Part,Mode,Base_Tech_1,Base_Tech_2,Tech_Category,Track_Type,Stage_Order,Stage,Requirement,Resonance_Threshold,Overload_Level,Effect_Stat,Effect_Value,Effect_Unit,Effect_Text,Applies_When_Deployed,Requires_Evolution,DPS_Relevant,DPS_Priority,Optimizer_Bucket,General_Investment_Rank,Data_Status,Source_URLs
TUN0001,Base Tech Part,TECH01,Antimatter Generator,Drill Shot,Antimatter Generator,,Offensive,Base Rarity,1,Better,Reach Better quality,,,ATK,30,Flat,ATK +30.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,4,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0002,Base Tech Part,TECH01,Antimatter Generator,Drill Shot,Antimatter Generator,,Offensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,Drill Shot flight speed +30%.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,4,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0003,Base Tech Part,TECH01,Antimatter Generator,Drill Shot,Antimatter Generator,,Offensive,Base Rarity,3,Epic,Reach Epic quality,,,ATK,200,Flat,ATK +200.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,4,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0004,Base Tech Part,TECH01,Antimatter Generator,Drill Shot,Antimatter Generator,,Offensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Whistling Arrow EX: gains a second arrow.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,4,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0005,Base Tech Part,TECH01,Antimatter Generator,Drill Shot,Antimatter Generator,,Offensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,"Drill Shot targets take +5% damage. The first Whistling Arrow deals double damage; after it hits, the second Whistling Arrow deals +900% damage for 1.5 seconds.",The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,4,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0006,Base Tech Part,TECH02,Precision Device,Drone,Precision Device,,Offensive,Base Rarity,1,Better,Reach Better quality,,,ATK,30,Flat,ATK +30.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,1,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0007,Base Tech Part,TECH02,Precision Device,Drone,Precision Device,,Offensive,Base Rarity,2,Excellent,Reach Excellent quality,,,Skill Mechanic,,Text,"Drone Homing: missiles home in on enemies in range, but firing rate is reduced.",The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,1,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0008,Base Tech Part,TECH02,Precision Device,Drone,Precision Device,,Offensive,Base Rarity,3,Epic,Reach Epic quality,,,ATK,200,Flat,ATK +200.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,1,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0009,Base Tech Part,TECH02,Precision Device,Drone,Precision Device,,Offensive,Base Rarity,4,Legend,Reach Legend quality,,,Skill Mechanic,,Text,Destroyer EX: restores firing rate and doubles missile explosion range.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,1,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0010,Base Tech Part,TECH02,Precision Device,Drone,Precision Device,,Offensive,Base Rarity,5,Eternal,Reach Eternal/Rainbow quality,,,Skill Mechanic,,Text,"Drone starts at Lv.2, Destroyer homing range increases, and additional missiles are gained.",The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Context dependent,SkillMechanic,1,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
TUN0011,Base Tech Part,TECH03,Phase Converter,Lightning Emitter,Phase Converter,,Offensive,Base Rarity,1,Better,Reach Better quality,,,ATK,30,Flat,ATK +30.,The corresponding skill is selected; evolved-only effects require the evolved skill.,Effect dependent,Yes,Low-to-Medium flat stat,FlatATK,6,Exact Drive transcription,https://docs.google.com/document/d/1ninU51MD-AuuDFRAQdLtbZzNrcGQKhCJntg4DJQ183c; https://survivorio.fandom.com/wiki/Tech_Parts
