Skill_ID,Skill_Name,Skill_Family,Used_As,Affected_Target,Affected_Stat,Excellent_Value,Epic_Value,Legend_Value,Value_Unit,Effect,Condition_or_Trigger,DPS_Relevant,DPS_Priority,Availability,Optimizer_Bucket,Data_Status,Source_URLs
PSK001,Barrier,Owner defense,Deploy,Owner,Ranged Damage Reduction,10,15,,%,Reduces ranged/shot damage to the owner.,Pet deployed and skill equipped.,No,Survival,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK002,Diligence,Owner utility,Deploy,Owner,Battle EXP Gain,5,7.5,10,%,Increases owner battle EXP gain.,Pet deployed and skill equipped.,Indirect,Mode dependent,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK003,Encouragement,Owner damage,Deploy,Owner,Skill Damage,3,5,,%,Increases owner Skill Damage.,Pet deployed and skill equipped.,Yes,High,Standard skill pool,OwnerDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK004,Guard,Owner defense,Deploy,Owner,Collision Damage Reduction,10,,,%,Reduces collision damage to the owner.,Pet deployed and skill equipped.,No,Survival,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK005,Inspiration,Owner damage,Deploy,Owner,Crit Damage,6,,10,%,Increases owner Crit Damage.,Pet deployed and skill equipped.,Yes,High,Standard skill pool,OwnerDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK006,Motivation,Owner damage,Deploy,Owner,Crit Rate,3,4,5,%,Increases owner Crit Rate.,Pet deployed and skill equipped.,Yes,Very High,Standard skill pool,OwnerDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK007,Crush,Pet damage,Deploy,Pet,Damage Proc,,,5% chance ×10,Special,Attacks may deal 10× damage; Murica version requires target below 50% HP.,Pet attacks.,Yes,Very High,Standard skill pool,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK008,Battle Lust,Pet damage,Deploy,Pet,Cooldown Reduction,15,20,30,%,Reduces pet attack and skill cooldowns.,Pet deployed and skill equipped.,Yes,Very High,Standard skill pool,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK009,Frenzy,Pet damage,Deploy,Pet,Crit Rate,15,20,60,%,Increases pet attack and skill Crit Rate.,Pet deployed and skill equipped.,Yes,Very High,Standard skill pool,PetDamageBuff,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
PSK010,Gargantua,Pet coverage,Deploy,Pet,Size / Range,15,20,,%,Increases pet size and attack range.,Pet deployed and skill equipped.,Conditional,Hit consistency,Standard skill pool,SurvivalOrUtility,Current Drive pet-skill registry; values cross-checked with public pet guides.,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4; https://onechilledgamer.com/survivor-io-pet-guide/
