Cost_ID,Cost_Category,Stage_Order,Stage,Required_Base_Quality,Incremental_Awakening_Crystals,Cumulative_Awakening_Crystals,Same_Type_Pet_Count_Shown,Affection_Level_Cap,Maximum_Player_ATK_From_Affection,Incremental_Max_ATK_From_Previous_Stage,Max_ATK_Gain_Per_Crystal,Toy_Rarity,Toy_ATK_Per_Gift,Toy_HP_Per_Gift,Requirement_or_Notes,DPS_Relevant,Data_Status,Source_URLs
PCOST001,Base Affection,0,Base,Any,0,0,,10,300,300,,,,,Maximum ATK requires actually raising affection with toys; awakening only raises the cap.,Yes,Exact Drive chart,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST002,Awakening / Affection,1,Y1,Epic,5,5,3,20,900,600,120.0,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST003,Awakening / Affection,2,Y2,Epic,5,10,3,30,1800,900,180.0,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST004,Awakening / Affection,3,Y3,Epic,10,20,5,40,2700,900,90.0,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST005,Awakening / Affection,4,Y4,Epic,20,40,5,50,3600,900,45.0,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST006,Awakening / Affection,5,Y5,Epic,30,70,7,60,4800,1200,40.0,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST007,Awakening / Affection,6,R1,Legend,40,110,7,70,6000,1200,30.0,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST008,Awakening / Affection,7,R2,Legend,60,170,9,80,7500,1500,25.0,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST009,Awakening / Affection,8,R3,Legend,60,230,9,90,9000,1500,25.0,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST010,Awakening / Affection,9,R4,Legend,60,290,9,105,11300,2300,38.3333,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST011,Awakening / Affection,10,R5,Legend,60,350,15,130,15000,3700,61.6667,,,,Chart pet-count value preserved. Exact sacrifice rarity icons were not fully retained in the text extraction. R4 maximum ATK is rounded in the source to 11.3k.,Yes for ATK; HP/survival costs not scored,Exact crystal/cap values from Drive; pet-count label normalized conservatively,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST012,Toy Gift,,,,,,,,,,,Better / Blue,3,12,The pet must have available affection capacity. Preferred toys are grouped by pet pairs.,ATK Yes; HP No,Exact Drive toy values,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST013,Toy Gift,,,,,,,,,,,Excellent / Purple,15,60,The pet must have available affection capacity. Preferred toys are grouped by pet pairs.,ATK Yes; HP No,Exact Drive toy values,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
PCOST014,Toy Gift,,,,,,,,,,,Epic / Yellow,45,180,The pet must have available affection capacity. Preferred toys are grouped by pet pairs.,ATK Yes; HP No,Exact Drive toy values,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
