Skill_ID,Skill_Name,Skill_Type,Source_System,Base_or_Evolution,Evolves_From,Evolution_Requirement,Behavior_Description,Primary_Damage_Form,Targeting_or_Area,Status_or_Control,Damage_Affecting_Properties,Calculation_Data_Included,Verification_Status,Primary_Source_URL,Secondary_Source_URL
SKL0042,Eternal Light,S Weapon EVO,Equipment Weapon,Evolution,Lightchaser,Ronin Oyoroi,Evolved Lightchaser with stronger sword-wave and array behavior.,Melee slash plus energy wave / array,Directional and area,,Sword waves and sword arrays,No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Lightchaser,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0044,Gloom Nova,S Weapon EVO,Equipment Weapon,Evolution,Void Power,Exo-Bracer,Evolved Void Power with black holes and an Energy Veil.,Black hole / area field,Area around black holes,Pull / protection,"Black-hole behavior, veil and explosions",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Void_Power,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0046,Sword of Domination,S Weapon EVO,Equipment Weapon,Evolution,Sword of Disorder,Hi-Power Magnet,Evolved Sword of Disorder with enhanced soul and sword behavior.,Melee / sword plus soul mechanic,Directional / area blast,,"Soul stacks, skill damage and full-screen soul blast",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Sword_of_Disorder,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0041,Lightchaser,S Weapon Skill,Equipment Weapon,Base,,Ronin Oyoroi,Uses sword slashes and sword-wave attacks.,Melee slash plus energy wave,Directional,,"Attack interval, slash count and arrays through quality/forge effects",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Lightchaser,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0045,Sword of Disorder,S Weapon Skill,Equipment Weapon,Base,,Hi-Power Magnet,Sword attacks build shackled souls that increase skill damage until the Survivor is hit.,Melee / sword plus soul mechanic,Directional / target,,"Soul stacks, skill-damage bonus and soul blast",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Sword_of_Disorder,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0043,Void Power,S Weapon Skill,Equipment Weapon,Base,,Exo-Bracer,Fires black holes that pull and damage enemies.,Black hole / area field,Projectile creates field,Pull / crowd control,"Black-hole count, area and duration",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Void_Power,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0048,Havoc Nova,SS Weapon EVO,Equipment Weapon,Evolution,Twin Lance - Starforged Havoc,Starforged and Havoc forms,Combined SS weapon evolution that adds Void power to the thrust and ray system.,Beam / ray plus void thrust,Area rings and directional thrust,Void Fissure,"Ray, thrust and target debuff behavior",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Twin_Lance_Starforged_Havoc,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0047,Twin Lance - Starforged Havoc,SS Weapon Skill,Equipment Weapon,Base,,Starforged + Havoc combination,Combines Eternity Ray and Havoc thrust mechanics.,Beam / ray plus thrust,"Rings, rays and directional thrust",Void Fissure,"Ray shots, thrusts, Energy Overload and stored effects",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Twin_Lance_Starforged_Havoc,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0034,Demon Blade,Weapon EVO,Equipment Weapon,Evolution,Katana,Ronin Oyoroi,Evolved Katana with enhanced blade waves.,Melee slash plus blade-wave projectile,Directional,,Wave count and healing with Legend quality,No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Katana,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
SKL0040,Gatling,Weapon EVO,Equipment Weapon,Evolution,Shotgun,Hi-Power Bullet,Fires a tight stream of bullets at very high speed in the facing direction.,Rapid bullet projectile,Frontal stream,,"Attack interval, spread and bullet delivery",No,Community wiki / Drive cross-check,https://survivorio.fandom.com/wiki/Shotgun,https://survivorio.fandom.com/wiki/Weapon_Skill_Evolution_Guide
