Pet,Awakening_Type_Group,Awakening_Available,Data_Status,Source_URLs
Croaky,Group A — Croaky / Cheshire,Yes,Source-backed pet awakening group,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
Cheshire,Group A — Croaky / Cheshire,Yes,Source-backed pet awakening group,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
Crabobble,Group B — Crabobble / Murica,Yes,Source-backed pet awakening group,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
Murica,Group B — Crabobble / Murica,Yes,Source-backed pet awakening group,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
Neemo,Group C — Neemo / Shelly,Yes,Source-backed pet awakening group,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
Shelly,Group C — Neemo / Shelly,Yes,Source-backed pet awakening group,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
DD-6,Group D — Rex / DD-6,Yes,Source-backed pet awakening group,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
Rex,Group D — Rex / DD-6,Yes,Source-backed pet awakening group,https://docs.google.com/document/d/19ZNPZEAyGoc79r5ofng_2RitREA8rOiY3FKPo9mHqi4
Gary,No supported awakening group,No,Collaboration pet excluded from Xeno gate,https://game8.jp/dadasurvivor/555253
Karen,No supported awakening group,No,Collaboration pet excluded from Xeno gate,https://game8.jp/dadasurvivor/585217
