Survivor_ID,Survivor,Aliases,Rarity,Upgrade_System,Unlock_Order,Unlock_Point,Required_Value,Unlock_Name,Effect,Effect_Scope,Effect_Tags,Shard_or_Upgrade_Item,Data_Status,Primary_Source_URL,Secondary_Source_URL
SURV01,Common,,Normal,Level,1,Level 20,20,Level Bonus,Survivor HP +1000.,This Survivor / Battle,,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Level,2,Level 40,40,Level Bonus,All Survivors: Crit Damage +5%.,Account-wide / All Survivors,Crit Damage | All-Survivor Bonus,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Level,3,Level 60,60,Level Bonus,Survivor ATK +600.,This Survivor / Battle,,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Level,4,Level 80,80,Level Bonus,All Survivors: Heal 5% HP when leveling up.,Account-wide / All Survivors,Healing | All-Survivor Bonus,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Level,5,Level 100,100,Level Bonus,Survivor ATK +1000.,This Survivor / Battle,,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Level,6,Level 120,120,Level Bonus,All Survivors: Crit Rate +5%.,Account-wide / All Survivors,Crit Rate | All-Survivor Bonus,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Star Upgrade,7,1 Star,1,Pointless,(Passive) All skill damage +3%.,This Survivor / Battle,Skill Damage,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Star Upgrade,8,2 Star,2,Survivor License,Survivor ATK +400; Survivor HP +2000.,This Survivor / Battle,,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Star Upgrade,9,3 Star,3,Expired Plan,(Passive) All skill ranges +3%; Survivor HP +20%.,This Survivor / Battle,,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Star Upgrade,10,4 Star,4,Advanced Survivor License,Survivor ATK +1000; Survivor HP +5000.,This Survivor / Battle,,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Star Upgrade,11,5 Star,5,All-Survivor Bonus,All Survivors: HP +4%.,Account-wide / All Survivors,All-Survivor Bonus,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Star Upgrade,12,6 Star,6,Helter Skelter,(Passive) All skill cooldowns -3%; Survivor ATK +20%.,This Survivor / Battle,Cooldown,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Awakening,13,A1,1,Electronic Protection / Garrison Shield,"Active: Spawns an Energy Shield equal to 40% of Survivor HP. Passive: While the shield is active, EXP gain +20%.",This Survivor / Battle,Shield,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Awakening,14,A4,4,Garrison Shield Enhancement,"When Garrison Shield triggers, Crit Damage +10%. Unlock 1 Teamwork passive slot.",Equipped Survivor + slot unlock,Crit Damage | Shield,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV01,Common,,Normal,Awakening,15,A6,6,Garrison Shield Enhancement II,"When Garrison Shield triggers, all Skill Damage +10%. Teamwork passive slot +1.",Equipped Survivor + slot unlock,Skill Damage | Shield,Common Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/common,https://survivorio.fandom.com/wiki/Characters
SURV02,Tsukuyomi,,Normal,Level,1,Level 20,20,Level Bonus,Survivor HP +1000.,This Survivor / Battle,,Tsukuyomi Shard,Exact GarryTools detail-page data,https://garrytools.com/guide/survivors/tsukuyomi,https://survivorio.fandom.com/wiki/Characters
