Equipment_Slot,SS_Equipment,System,Level,Level_Number,Unlock_Requirement,Relic_Core_Cost,Eternal_Core_Cost,Void_Core_Cost,Chaos_Core_Cost,Xeno_Transmute_Core_Cost,Base_Tech_Materials_Cost,Fodder_Rarity,Fodder_Item,Fodder_Quantity,Unlock_Name,Effect,Trigger_Condition,Trigger_Cooldown,Release_Status,Data_Status,Source_Name,Source_URL
Weapon,Twin Lance - Starforged Havoc,Eternal Astral Forge,E1,1,Own the SS equipment; progress sequentially on this Astral Forge path,1,10,0,0,0,500,Epic,Lightchaser,1,Photolithography,Energy Overload counts are also recorded when Eternity Ray retracts. Starforge and Havoc start at Lv.3.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Eternal Astral Forge,E2,2,Own the SS equipment; progress sequentially on this Astral Forge path,2,20,0,0,0,500,Epic,Lightchaser,1,ATK,+10% ATK.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Eternal Astral Forge,E3,3,Own the SS equipment; progress sequentially on this Astral Forge path,3,40,0,0,0,500,Epic,Lightchaser,2,Super Star,Each Energy Overload stack's damage increases to 35%.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Eternal Astral Forge,E4,4,Own the SS equipment; progress sequentially on this Astral Forge path,5,60,0,0,0,500,Epic,Lightchaser,2,Final ATK,"+4,000 Final ATK.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Eternal Astral Forge,E5,5,Own the SS equipment; progress sequentially on this Astral Forge path,8,80,0,0,0,1000,Legend,Lightchaser,1,Jade Cluster,Energy Overload can stack up to 3 times.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Void Astral Forge,V1,1,Own the SS equipment; progress sequentially on this Astral Forge path,1,0,10,0,0,500,Epic,Void Power,1,ATK,+10% ATK.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Void Astral Forge,V2,2,Own the SS equipment; progress sequentially on this Astral Forge path,2,0,20,0,0,500,Epic,Void Power,1,Disordered Death,Void Power damage +80%. Targets hit by Void Fissure take an additional 20% damage.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Void Astral Forge,V3,3,Own the SS equipment; progress sequentially on this Astral Forge path,3,0,40,0,0,500,Epic,Void Power,2,Final ATK,"+4,000 Final ATK.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Void Astral Forge,V4,4,Own the SS equipment; progress sequentially on this Astral Forge path,5,0,60,0,0,500,Epic,Void Power,2,Blink,Thrusts performed at low HP reduce the base attack interval by up to 1 second.,,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Void Astral Forge,V5,5,Own the SS equipment; progress sequentially on this Astral Forge path,8,0,80,0,0,1000,Legend,Void Power,1,Final ATK,"+8,000 Final ATK.",,,Released,Exact effect text transcribed from Google Drive SS gear chart; standard SS AF costs cross-checked with wiki/current data,Google Drive SS_Gear_2025-02-06; Astral Forge chart; SurvivorIO Wiki,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://drive.google.com/file/d/1O5kFq3WqXZaqBRePrasOYINsJUxyVQ_c; https://survivorio.fandom.com/wiki/SS_equipment
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF1,1,1 total Eternal + Void Astral Forge stars required,1,0,0,20,0,0,Epic,Sword of Disorder,1,Max Level,+5 maximum equipment levels.,,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF2,2,2 total Eternal + Void Astral Forge stars required,2,0,0,20,0,0,Epic,Sword of Disorder,1,Meteorite,Firing Void Power launches additional homing Chaos Meteorites. Hits inflict 10% Vulnerability for 10 seconds; does not stack.,,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF3,3,3 total Eternal + Void Astral Forge stars required,3,0,0,50,0,0,Epic,Sword of Disorder,1,Max Level,+5 maximum equipment levels.,,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF4,4,3 total Eternal + Void Astral Forge stars required,3,0,0,50,0,0,Epic,Sword of Disorder,1,Weakened Damage,+20% damage to Weakened targets.,,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF5,5,4 total Eternal + Void Astral Forge stars required,4,0,0,100,0,0,Epic,Sword of Disorder,2,Max Level,+5 maximum equipment levels.,,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF6,6,4 total Eternal + Void Astral Forge stars required,4,0,0,100,0,0,Epic,Sword of Disorder,2,Shatterstar,"When a Chaos Meteorite hits an enemy, Chaos Shatterstar is triggered.",,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF7,7,6 total Eternal + Void Astral Forge stars required,6,0,0,150,0,0,Legend,Sword of Disorder,1,Max Level,+5 maximum equipment levels.,,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF8,8,6 total Eternal + Void Astral Forge stars required,6,0,0,150,0,0,Legend,Sword of Disorder,1,Chilled Damage,+30% damage to Chilled targets.,,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF9,9,8 total Eternal + Void Astral Forge stars required,8,0,0,200,0,0,Legend,Sword of Disorder,1,Max Level,+10 maximum equipment levels.,,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Chaos Fusion,CF10,10,8 total Eternal + Void Astral Forge stars required,8,0,0,200,0,0,Legend,Sword of Disorder,1,Warp,"After Void Power hits a boss, it locks onto the boss and homes back in at higher speed to deal damage again; Void Power base damage is reduced by 30%.",,,Released,Exact effect text from Drive chart; costs from current sIO Tools snapshot,Google Drive SS gear chart; current sIO Tools data snapshot; official release history,https://drive.google.com/file/d/1Sg8uUEe_VGD3o0YSum_w86Ob9vloHVs5; https://apps.apple.com/us/app/survivor-io/id1528941310
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT1,1,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,40,0,0,1,0,,,0,Unique Skill / Chill,"Unlock Valiant Rush. Chill is available as the selected Xeno effect. Internal unique Xeno modifier +5. The selected elemental effect grants up to +35% matching-status damage per stack, with up to 6 stacks.",50 Void Power hits,15s,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT2,2,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,40,0,0,1,0,,,0,ATK,+10% ATK.,,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT3,3,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,0,80,0,2,0,,,0,Poison,"Poison becomes available as the selected Xeno effect. The selected elemental effect grants up to +35% matching-status damage per stack, with up to 6 stacks.",,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT4,4,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,80,0,0,2,0,,,0,Laceration,+15% Laceration.,,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT5,5,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,0,100,0,4,0,,,0,Transmute Damage,Adds 3 times the selected trigger's Transmute damage coefficient.,,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT6,6,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,100,0,0,4,0,,,0,ATK / Trigger II,+15% ATK and unlock the second trigger condition.,100 Drone hits,10s,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT7,7,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,0,100,0,4,0,,,0,Weaken,"Weaken becomes available as the selected Xeno effect. Internal unique Xeno modifier +10. The selected elemental effect grants up to +35% matching-status damage per stack, with up to 6 stacks.",,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT8,8,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,150,0,0,6,0,,,0,Xeno Progression,No separate gear-stat entry was present in the current calculator snapshot.,,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT9,9,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,0,150,0,6,0,,,0,Skill Damage,+105% Skill Damage.,,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT10,10,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,150,0,0,6,0,,,0,ATK / Trigger III,+20% ATK and unlock the third trigger condition.,20 Energy Overload triggers,10s,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
Weapon,Twin Lance - Starforged Havoc,Xeno Transmute,XT11,11,E4 + V4 on this SS equipment; Xeno levels progress sequentially,0,0,250,0,8,0,,,0,Skill Damage,+50% Skill Damage.,,,Released,Current sIO Tools Xeno model; trigger text from current app data; unique UI wording may differ,Google Drive Xeno guide; current sIO Tools snapshot; official release history,https://apps.apple.com/us/app/survivor-io/id1528941310; https://clashiverse.com/survivor-io-xeno-transmute-guide/
