Unlock_ID,Category,Unlock_Name,Requirement_or_Cost,What_It_Gives,Applies_To,Release_Status,Data_Status,Source_URLs
MUN001,Access,Unlock Mount System,Clear Main Chapter 80,Adds the Mount menu and mount/component systems.,Account,Released,Current community unlock requirement,https://www.treyexgaming.com/survivor-io-mount-guide/
MUN002,Progression,Mount Starting Stage,Unlock a mount,Every released mount begins at 0 Yellow Stars and can be upgraded eight times to Red 4.,Each mount,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN003,Resources,Electric Scooter Unlock,30 Electric Scooter shards,Unlocks Electric Scooter at 0★.,Electric Scooter,Released,Exact model and web guide,https://www.treyexgaming.com/survivor-io-mount-guide/; https://sio-tools.exp0.dev/
MUN004,Resources,Tech Hoverboard Unlock,50 Tech Hoverboard shards,Unlocks Tech Hoverboard at 0★.,Tech Hoverboard,Released,Exact model and web guide,https://www.treyexgaming.com/survivor-io-mount-guide/; https://sio-tools.exp0.dev/
MUN005,Resources,Doomsteed Unlock,80 Doomsteed shards,Unlocks Doomsteed at 0★.,Doomsteed,Released,Exact model and web guide,https://www.treyexgaming.com/survivor-io-mount-guide/; https://sio-tools.exp0.dev/
MUN006,Resources,Legend Mount Core,Doomsteed upgrades from Y1 onward,Legend mount upgrades consume Mount Cores in addition to shards.,Legend mounts,Released,Exact supplied model,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://sio-tools.exp0.dev/
MUN007,Resources,Mount Core Source,Core Choice Chests and eligible events,Provides Mount Cores used by Legend mounts.,Legend mounts,Released,Drive source,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN008,Resources,Mount Shard Sources,"Events, event exchanges and limited shops",Provides mount-specific shards.,All mounts,Released,Drive and web guide,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c; https://www.treyexgaming.com/survivor-io-mount-guide/
MUN009,Components,Component Crate Keys,"Events, Operation Retreat and Clan Shop",Opens mount component crates.,Account inventory,Released,Exact Drive source,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
MUN010,Components,Random Component Stat,Obtain or merge a component,Each component receives a random fixed-value stat based on rarity. Shape and stat are independent.,Components,Released,Exact Drive rule,https://docs.google.com/document/d/1BJK2oTB44WENmvroWX__wf5ZUuwZIeAYgCMsorrUU7c
