Set_ID,Set_Name,Set_Type,Collectible_1,Collectible_1_Rarity,Collectible_2,Collectible_2_Rarity,Collectible_3,Collectible_3_Rarity,Collectible_4,Collectible_4_Rarity,Unlock_Count,Damage_Tags,Data_Status,Source_URL
SET001,Genesis,1 Red,Human Genome Mapping,Legend,Old Medical Book,Epic,Savior's Memento,Epic,Genetic Keycard,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/genesis
SET002,Thirst-quenching Knowledge,1 Red,Book of Ancient Wisdom,Legend,Golden Cutlery,Epic,Safehouse Map,Epic,Bottle Cap,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/thirst-quenching-knowledge
SET003,Shiny Missing Item,2 Yellows,Golden Cutlery,Epic,Savior's Memento,Epic,Lost Outdoor Essential,Excellent,Glare Flashlight,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/shiny-missing-item
SET004,Wasteland Survival,2 Yellows,Old Medical Book,Epic,Safehouse Map,Epic,Terraforming Seed,Excellent,Gas Mask,Excellent,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/wasteland-survival
SET005,Rescue Operation,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/rescue-operation
SET006,End of Days Record,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/end-of-days-record
SET007,Head to Shelter,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/head-to-shelter
SET008,Finding Survivors,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/finding-survivors
SET009,Luck Through the Roof,1 Red,Immortal Lucky Coin,Legend,Lucky Charm,Epic,Mystical Halo,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/luck-through-the-roof
SET010,What If We Created It?,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/what-if-we-created-it
SET011,Luckily All Records Were Found,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/luckily-all-records-were-found
SET012,Mechanical Seance,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/mechanical-seance
SET013,Weekend Family Musical,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/weekend-family-musical
SET014,"Luck, Courage and Funds Required",Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/luck-courage-and-funds-required
SET015,Legend Encounter,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/legend-encounter
SET016,Real Reason for Satellite Malfunction,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/real-reason-for-satellite-malfunction
SET017,First Myth,1 Red,Angelic Tear Crystal,Legend,Tablet of Epics,Epic,Primordial War Drum,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/first-myth
SET018,Astral Elusion,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/astral-elusion
SET019,Bestselling Comic,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/bestselling-comic
SET020,Festive Celebrations in Novels,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/festive-celebrations-in-novels
SET021,Handdrawn Medical Supplies Map,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/handdrawn-medical-supplies-map
SET022,Book-brimmed Library,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/book-brimmed-library
SET023,Lanterns and Banners,Mixed / Unknown,Splendid Float,Excellent,Grand Red Lantern,Excellent,Ornamental Scale,Excellent,Neon Sign,Better,8,ATK% | Final ATK | Final HP | HP%,Exact GarryTools page pattern and member list transcribed,https://garrytools.com/guide/collectionsets/lanterns-and-banners
SET024,Where is the Wondrous Plant,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/where-is-the-wondrous-plant
SET025,Erudite Heirloom,4 Reds,Human Genome Mapping,Legend,Book of Ancient Wisdom,Legend,Otherworld Key,Legend,Starcore Diamond,Legend,6,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/erudite-heirloom
SET026,Otherworld Treasure,4 Reds,Immortal Lucky Coin,Legend,Instellar Transition Matrix Design,Legend,Angelic Tear Crystal,Legend,Unicorn's Horn,Legend,4,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/otherworld-treasure
SET027,Parallel Dimension,1 Red,Otherworld Key,Legend,Flaming Plume,Epic,Astral Dewdrop,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/parallel-dimension
SET028,Side Effects of Power,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/side-effects-of-power
SET029,Meaning of Life,4 Reds,High-Lat Energy Cube,Legend,Void Bloom,Legend,Eye of True Vision,Legend,Life Hourglass,Legend,6,ATK% | Final ATK | Final HP | HP%,Members and damage milestones from current sIO Tools model; universal stat milestones reconstructed from GarryTools special-set pages,https://garrytools.com/guide/collectionsets/meaning-of-life
SET030,Uncontrollable Superpower,1 Red,High-Lat Energy Cube,Legend,Nuclear Battery,Epic,Plasma Sword,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/uncontrollable-superpower
SET031,Ineffective Enhancement,Mixed / Unknown,,,,,,,,,8,ATK% | Final ATK | Final HP | HP%,Standard GarryTools two-yellow/mixed template reconstructed; verify exact 15-vs-18 threshold on the linked page,https://garrytools.com/guide/collectionsets/ineffective-enhancement
SET032,Just Enough to Ignore the Fog,1 Red,Eye of True Vision,Legend,Nuclear Battery,Epic,Plasma Sword,Epic,,,8,ATK% | Final ATK | Final HP | HP%,Members/effect direction from current sIO Tools model; full four-item milestones normalized to GarryTools one-red template,https://garrytools.com/guide/collectionsets/just-enough-to-ignore-the-fog
